Datetime,Serving_Cell_Id, Call_Id, ta
2025-02-27 05:47:27.160,6436098,16169896,48,
2025-02-27 05:47:27.435,6436238,15942399,48,
2025-02-27 05:47:27.615,6436098,15887860,0,
2025-02-27 05:47:27.630,6436238,15886921,16,
2025-02-27 05:47:27.650,6436097,15887221,16,
2025-02-27 05:47:27.827,6436238,15887689,48,
2025-02-27 05:47:27.923,6436096,16169953,16,
2025-02-27 05:47:28.196,6436097,16292423,16,
2025-02-27 05:47:28.320,6436097,16292307,80,
2025-02-27 05:47:28.356,6436098,829020598,64,
2025-02-27 05:47:28.480,6436098,16292286,48,
2025-02-27 05:47:28.609,6436098,829020591,96,
2025-02-27 05:47:28.719,6436096,16169950,48,
2025-02-27 05:47:28.855,6436096,15942383,0,
2025-02-27 05:47:29.094,6436138,829020600,112,
2025-02-27 05:47:29.216,6436098,16102365,64,
2025-02-27 05:47:29.273,6436238,829020507,64,
2025-02-27 05:47:29.320,6436098,829020464,64,
2025-02-27 05:47:29.417,6436098,16169944,48,
2025-02-27 05:47:29.700,6436238,15798100,64,
2025-02-27 05:47:29.708,6436238,15798067,48,
2025-02-27 05:47:29.765,6436097,828962127,80,
2025-02-27 05:47:29.782,6436098,15798075,32,
2025-02-27 05:47:29.800,6436096,15798093,32,
2025-02-27 05:47:29.816,6436098,15887902,64,
2025-02-27 05:47:29.864,6436096,828959225,48,
2025-02-27 05:47:30.058,6436238,15941773,32,
2025-02-27 05:47:30.160,6436098,16292426,64,
2025-02-27 05:47:30.232,6436098,16292370,16,
2025-02-27 05:47:30.255,6436238,15797715,64,
2025-02-27 05:47:30.345,6436098,15798094,48,
2025-02-27 05:47:30.454,6436098,15887886,16,
2025-02-27 05:47:30.615,6436098,829020504,16,
2025-02-27 05:47:30.629,6436098,15942401,32,
2025-02-27 05:47:30.790,6436138,829020070,112,
2025-02-27 05:47:30.807,6436098,829020604,48,
2025-02-27 05:47:30.945,6436096,15942031,0,
2025-02-27 05:47:30.982,6436097,16169952,16,
2025-02-27 05:47:31.126,6436098,15942362,48,
2025-02-27 05:47:31.128,6436096,16292209,48,
2025-02-27 05:47:31.170,6436096,15942377,48,
2025-02-27 05:47:31.395,6436098,15942396,64,
2025-02-27 05:47:31.397,6436097,15942342,0,
2025-02-27 05:47:31.643,6436097,15887774,0,
2025-02-27 05:47:31.871,6436098,15886403,0,
2025-02-27 05:47:31.872,6436096,829020453,0,
2025-02-27 05:47:31.988,6436136,829020432,64,
2025-02-27 05:47:32.141,6436238,15797458,48,
2025-02-27 05:47:32.138,6436097,15942391,0,
2025-02-27 05:47:32.280,6436098,16169896,48,
2025-02-27 05:47:32.356,6436238,15942399,32,
2025-02-27 05:47:32.379,6436098,15887906,64,
2025-02-27 05:47:32.406,6436098,16292437,0,
2025-02-27 05:47:32.735,6436098,15887860,0,
2025-02-27 05:47:32.751,6436238,15886921,16,
2025-02-27 05:47:32.770,6436097,15887221,16,
2025-02-27 05:47:32.948,6436238,15887689,48,
2025-02-27 05:47:32.956,6436238,16292438,16,
