Datetime,Serving_Cell_Id, Call_Id, ulRetransErrorNumber,ulCrcInitTransTotalNumber,dlRetransErrorNumber,dlCode0InitTransTotalNumber,dlCode1InitTransTotalNumber,ulRbUsedNumber,dlRbUsedNumber,dlWidebandCqiCode0,dlWidebandCqiCode1,rankIndication
2025-02-27 05:36:29.460,6436238,15940897,0,94,0,189,187,256,3339,15,15,1,
2025-02-27 05:36:29.556,6436137,828964612,0,510,0,3,0,0,8,12,15,0,
2025-02-27 05:36:29.621,6436097,15797226,0,138,0,3,3,0,4,8,9,1,
2025-02-27 05:36:29.652,6436098,15887014,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,8,255,0,
2025-02-27 05:36:29.664,6436098,15941414,0,172,0,659,0,8912,36072,8,255,0,
2025-02-27 05:36:29.752,6436238,15885154,3,248,0,365,365,1248,5254,14,14,1,
2025-02-27 05:36:29.770,6436098,15886403,0,182,0,370,88,778,1893,12,9,0,
2025-02-27 05:36:29.835,6436096,15941510,0,423,0,21,7,354,186,6,4,0,
2025-02-27 05:36:30.399,6436096,829019519,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4,2,1,
2025-02-27 05:36:30.393,6436238,829019519,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:36:30.399,6436238,829019619,1,55,0,47,0,232,306,7,255,255,
2025-02-27 05:36:30.623,6436098,16291532,0,5,0,5,0,0,16,10,255,0,
2025-02-27 05:36:30.621,6436238,16291532,4294967295,4294967295,0,0,0,4294967295,0,12,255,0,
2025-02-27 05:36:30.652,6436098,15887016,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,7,255,0,
2025-02-27 05:36:30.826,6436238,15886998,0,23,0,23,23,92,79,15,15,255,
2025-02-27 05:36:30.908,6436238,16102365,0,119,0,134,134,277,449,15,15,255,
2025-02-27 05:36:30.914,6436098,15796747,0,37,0,35,33,226,70,10,9,1,
2025-02-27 05:36:30.924,6436096,829019821,0,466,0,42,0,358,698,6,2,0,
2025-02-27 05:36:30.980,6436096,15886992,0,458,0,4,0,0,12,8,3,0,
2025-02-27 05:36:31.217,6436098,829019519,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,10,255,0,
2025-02-27 05:36:31.211,6436238,829019519,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:36:31.225,6436137,16291559,0,530,0,90,0,1050,1634,9,255,0,
2025-02-27 05:36:31.267,6436238,828963725,0,120,0,177,188,710,5253,15,15,255,
2025-02-27 05:36:31.319,6436096,15887007,0,469,0,6,0,0,20,10,8,0,
2025-02-27 05:36:31.453,6436096,829019813,0,529,0,1093,0,2088,84030,8,2,0,
2025-02-27 05:36:31.610,6436098,16291566,0,5,0,2,2,0,4,13,15,1,
2025-02-27 05:36:31.611,6436097,16291244,0,65,0,124,117,2837,5048,9,10,1,
2025-02-27 05:36:31.760,6436096,829019823,0,434,0,11,1,0,48,4,5,1,
2025-02-27 05:36:31.899,6436097,16169058,0,15,0,2,0,0,4,13,9,0,
