Datetime,Serving_Cell_Id, Call_Id, ta
2025-02-27 05:41:58.586,6436096,829020219,64,
2025-02-27 05:41:58.610,6436098,16291980,32,
2025-02-27 05:41:58.633,6436098,15887463,64,
2025-02-27 05:41:58.646,6436097,15940648,0,
2025-02-27 05:41:58.696,6436097,16169563,0,
2025-02-27 05:41:58.696,6436097,829020222,80,
2025-02-27 05:41:58.776,6436096,16169435,16,
2025-02-27 05:41:58.793,6436097,15797619,16,
2025-02-27 05:41:58.830,6436097,16289530,0,
2025-02-27 05:41:58.853,6436098,16291973,48,
2025-02-27 05:41:58.870,6436097,15941948,16,
2025-02-27 05:41:58.883,6436097,15797708,0,
2025-02-27 05:41:58.888,6436096,16169559,32,
2025-02-27 05:41:58.893,6436238,15887477,32,
2025-02-27 05:41:58.894,6436238,15797709,32,
2025-02-27 05:41:58.908,6436098,15729487,32,
2025-02-27 05:41:58.913,6436096,16169530,0,
2025-02-27 05:41:58.906,6436238,16291967,48,
2025-02-27 05:41:58.985,6436238,16169564,16,
2025-02-27 05:41:58.999,6436098,16291994,16,
2025-02-27 05:41:59.038,6436097,16169488,0,
2025-02-27 05:41:59.067,6436097,16291960,80,
2025-02-27 05:41:59.099,6436238,15941958,16,
2025-02-27 05:41:59.120,6436098,829020213,64,
2025-02-27 05:41:59.154,6436098,15941971,48,
2025-02-27 05:41:59.168,6436098,15886417,32,
2025-02-27 05:41:59.280,6436238,15886646,48,
2025-02-27 05:41:59.304,6436098,16291581,32,
2025-02-27 05:41:59.351,6436098,15797714,64,
2025-02-27 05:41:59.362,6436098,15887478,48,
2025-02-27 05:41:59.380,6436098,829020214,48,
2025-02-27 05:41:59.382,6436097,829020077,16,
2025-02-27 05:41:59.387,6436098,829020226,64,
2025-02-27 05:41:59.396,6436098,15941959,48,
2025-02-27 05:41:59.448,6436238,15941960,0,
2025-02-27 05:41:59.458,6436098,15941508,48,
2025-02-27 05:41:59.473,6436238,15797710,16,
2025-02-27 05:41:59.522,6436096,15940019,0,
2025-02-27 05:41:59.582,6436096,15941972,16,
2025-02-27 05:41:59.606,6436096,15818787,16,
2025-02-27 05:41:59.658,6436097,16168453,16,
2025-02-27 05:41:59.694,6436097,829020170,32,
2025-02-27 05:41:59.729,6436098,828960199,0,
2025-02-27 05:41:59.729,6436136,829020229,160,
2025-02-27 05:41:59.771,6436097,15797398,0,
2025-02-27 05:41:59.790,6436096,829020154,16,
2025-02-27 05:41:59.829,6436097,15887471,16,
2025-02-27 05:41:59.844,6436098,829019643,16,
2025-02-27 05:41:59.863,6436098,15887412,16,
2025-02-27 05:41:59.929,6436098,16288084,16,
2025-02-27 05:41:59.938,6436098,16289962,32,
2025-02-27 05:41:59.946,6436098,15884458,16,
2025-02-27 05:41:59.961,6436097,15887351,16,
2025-02-27 05:41:59.979,6436238,15887152,16,
2025-02-27 05:41:59.999,6436098,829019658,16,
2025-02-27 05:42:00.009,6436096,15887420,0,
2025-02-27 05:42:00.048,6436097,828964411,64,
2025-02-27 05:42:00.073,6436097,16291995,16,
2025-02-27 05:42:00.068,6436238,15887461,32,
2025-02-27 05:42:00.076,6436096,828964597,0,
2025-02-27 05:42:00.092,6436096,16169565,16,
2025-02-27 05:42:00.106,6436097,16291983,32,
2025-02-27 05:42:00.159,6436096,15887479,64,
2025-02-27 05:42:00.162,6436098,15797703,32,
2025-02-27 05:42:00.168,6436096,829020224,32,
2025-02-27 05:42:00.207,6436096,829020193,48,
2025-02-27 05:42:00.236,6436098,829020156,16,
2025-02-27 05:42:00.247,6436096,829019948,48,
2025-02-27 05:42:00.324,6436098,16169560,16,
2025-02-27 05:42:00.438,6436096,829019789,0,
2025-02-27 05:42:00.504,6436097,15941953,16,
2025-02-27 05:42:00.527,6436097,16169552,0,
2025-02-27 05:42:00.535,6436098,15941973,48,
2025-02-27 05:42:00.602,6436097,15797689,32,
2025-02-27 05:42:00.599,6436238,828955565,64,
2025-02-27 05:42:00.705,6436097,16291982,0,
2025-02-27 05:42:00.703,6436238,829019941,64,
2025-02-27 05:42:00.704,6436238,15074519,16,
2025-02-27 05:42:00.709,6436238,829019725,80,
2025-02-27 05:42:00.724,6436097,16291903,32,
2025-02-27 05:42:00.748,6436098,15884461,16,
2025-02-27 05:42:00.825,6436096,829020131,32,
2025-02-27 05:42:00.917,6436098,15797683,0,
2025-02-27 05:42:00.920,6436238,15797682,16,
2025-02-27 05:42:00.933,6436238,829019802,48,
2025-02-27 05:42:00.958,6436098,16291766,0,
2025-02-27 05:42:00.978,6436097,16169446,0,
2025-02-27 05:42:01.025,6436097,829019646,48,
