Datetime,Serving_Cell_Id, Call_Id, ulMcs,dlMcs
2025-02-27 05:31:02.956,6436096,15885868,22,7,
2025-02-27 05:31:03.011,6436098,15886161,22,15,
2025-02-27 05:31:03.230,6436098,15796747,24,11,
2025-02-27 05:31:03.357,6436138,828964398,18,8,
2025-02-27 05:31:03.360,6436238,15796748,14,16,
2025-02-27 05:31:03.407,6436096,16168576,26,17,
2025-02-27 05:31:03.463,6436097,15796761,16,7,
2025-02-27 05:31:03.468,6436238,828964380,12,9,
2025-02-27 05:31:03.488,6436098,15940943,26,12,
2025-02-27 05:31:03.534,6436238,16168569,27,15,
2025-02-27 05:31:03.671,6436238,15941017,4294967295,4294967295,
2025-02-27 05:31:03.675,6436096,15941017,25,11,
2025-02-27 05:31:03.780,6436097,16290888,8,24,
2025-02-27 05:31:03.924,6436098,16168528,20,18,
2025-02-27 05:31:03.962,6436136,828964659,19,4,
2025-02-27 05:31:03.965,6436178,828962359,4294967295,4294967295,
2025-02-27 05:31:03.972,6436098,828962359,18,9,
2025-02-27 05:31:04.230,6436098,16291008,4,12,
2025-02-27 05:31:04.231,6436238,16291008,4294967295,4294967295,
2025-02-27 05:31:04.243,6436238,15940897,27,27,
2025-02-27 05:31:04.276,6436098,15940985,3,14,
2025-02-27 05:31:04.298,6436238,15885154,26,25,
2025-02-27 05:31:04.464,6436238,828963169,27,23,
2025-02-27 05:31:04.537,6436097,15941020,19,2,
2025-02-27 05:31:04.627,6436097,16168428,26,14,
2025-02-27 05:31:04.778,6436098,16291065,26,19,
2025-02-27 05:31:04.795,6436098,15941008,24,13,
2025-02-27 05:31:04.907,6436097,16166899,11,16,
2025-02-27 05:31:04.988,6436097,15941001,26,20,
2025-02-27 05:31:04.985,6436238,15941001,4294967295,4294967295,
2025-02-27 05:31:05.047,6436097,15796609,26,17,
2025-02-27 05:31:05.073,6436178,16168578,17,4,
2025-02-27 05:31:05.073,6436098,16168578,4294967295,4294967295,
2025-02-27 05:31:05.196,6436097,16168553,26,16,
2025-02-27 05:31:05.374,6436096,16291067,20,8,
2025-02-27 05:31:05.431,6436097,15941021,22,19,
2025-02-27 05:31:05.672,6436238,15886576,21,8,
2025-02-27 05:31:05.683,6436178,15796766,25,21,
2025-02-27 05:31:05.731,6436238,15796755,26,23,
2025-02-27 05:31:05.789,6436097,15940829,26,24,
2025-02-27 05:31:05.790,6436238,15940662,22,13,
2025-02-27 05:31:06.004,6436098,15886565,8,21,
2025-02-27 05:31:06.054,6436097,15886458,26,11,
2025-02-27 05:31:06.114,6436097,16291030,13,18,
2025-02-27 05:31:06.177,6436096,15940981,26,17,
2025-02-27 05:31:06.261,6436098,828963198,5,19,
2025-02-27 05:31:06.420,6436098,16291047,19,21,
2025-02-27 05:31:06.475,6436238,828963725,22,20,
2025-02-27 05:31:06.704,6436097,828962127,15,15,
2025-02-27 05:31:06.775,6436097,828964446,5,9,
2025-02-27 05:31:06.935,6436178,828964598,21,3,
2025-02-27 05:31:06.960,6436098,15886555,25,12,
2025-02-27 05:31:06.993,6436137,828964612,10,23,
2025-02-27 05:31:07.000,6436238,16102365,21,14,
