Datetime,Serving_Cell_Id, Call_Id, ulDataVolumePerUe,ulDataVolumeLastTtiPerUe,ulDataTransmissionTimePerUe,dlDataVolumePerUe,dlDataVolumeLastTtiPerUe,dlDataTransmissionTimePerUe,eRabCount,eRabThroughputStatList[0].eRabId,eRabThroughputStatList[0].qci,eRabThroughputStatList[0].ulDataVolumePerERab,eRabThroughputStatList[0].ulDataTransmissionTimePerERab,eRabThroughputStatList[0].dlDataVolumePerERab,eRabThroughputStatList[0].dlDataTransmissionTimePerERab,eRabThroughputStatList[1].eRabId,eRabThroughputStatList[1].qci,eRabThroughputStatList[1].ulDataVolumePerERab,eRabThroughputStatList[1].ulDataTransmissionTimePerERab,eRabThroughputStatList[1].dlDataVolumePerERab,eRabThroughputStatList[1].dlDataTransmissionTimePerERab,eRabThroughputStatList[2].eRabId,eRabThroughputStatList[2].qci,eRabThroughputStatList[2].ulDataVolumePerERab,eRabThroughputStatList[2].ulDataTransmissionTimePerERab,eRabThroughputStatList[2].dlDataVolumePerERab,eRabThroughputStatList[2].dlDataTransmissionTimePerERab,eRabThroughputStatList[3].eRabId,eRabThroughputStatList[3].qci,eRabThroughputStatList[3].ulDataVolumePerERab,eRabThroughputStatList[3].ulDataTransmissionTimePerERab,eRabThroughputStatList[3].dlDataVolumePerERab,eRabThroughputStatList[3].dlDataTransmissionTimePerERab,eRabThroughputStatList[4].eRabId,eRabThroughputStatList[4].qci,eRabThroughputStatList[4].ulDataVolumePerERab,eRabThroughputStatList[4].ulDataTransmissionTimePerERab,eRabThroughputStatList[4].dlDataVolumePerERab,eRabThroughputStatList[4].dlDataTransmissionTimePerERab,eRabThroughputStatList[5].eRabId,eRabThroughputStatList[5].qci,eRabThroughputStatList[5].ulDataVolumePerERab,eRabThroughputStatList[5].ulDataTransmissionTimePerERab,eRabThroughputStatList[5].dlDataVolumePerERab,eRabThroughputStatList[5].dlDataTransmissionTimePerERab,eRabThroughputStatList[6].eRabId,eRabThroughputStatList[6].qci,eRabThroughputStatList[6].ulDataVolumePerERab,eRabThroughputStatList[6].ulDataTransmissionTimePerERab,eRabThroughputStatList[6].dlDataVolumePerERab,eRabThroughputStatList[6].dlDataTransmissionTimePerERab,eRabThroughputStatList[7].eRabId,eRabThroughputStatList[7].qci,eRabThroughputStatList[7].ulDataVolumePerERab,eRabThroughputStatList[7].ulDataTransmissionTimePerERab,eRabThroughputStatList[7].dlDataVolumePerERab,eRabThroughputStatList[7].dlDataTransmissionTimePerERab
2025-02-27 05:47:27.159,6436098,16169896,0,6000,4,0,0,0,2,5,9,1626,15,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.615,6436098,15887860,0,383528,102,456988,315145,959,2,5,9,83801,212,456988,959,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.629,6436238,15886921,0,74008,42,10920,240429,10,3,5,9,12905,79,10920,10,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.650,6436097,15887221,0,17136,6,0,420,0,3,5,9,3278,7,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.827,6436238,15887689,0,158632,229,111731,625995,470,3,5,9,60290,335,111731,470,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.196,6436097,16292423,0,2560,0,0,252,0,2,5,9,320,4,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.320,6436097,16292307,49354,4720,1334,505071,239894,580,3,5,9,54074,1379,505071,580,7,5,0,0,0,0,6,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.356,6436098,829020598,0,277664,47,605472,196086,2303,2,5,9,49904,188,605472,2303,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.480,6436098,16292286,0,11184,3,75971,10413,68,3,5,9,3285,9,75971,68,6,8,0,0,0,0,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.609,6436098,829020591,0,22912,10,25,870,5,3,5,8,20665,14,25,5,6,5,0,0,0,0,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.719,6436096,16169950,0,56408,2,0,22467,0,2,5,8,7132,95,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.855,6436096,15942383,0,0,0,0,96,0,2,5,9,0,0,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:29.094,6436138,829020600,0,1816,3,269,198,1,2,5,9,499,4,269,1,6,8,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:29.215,6436098,16102365,0,51512,7,315101,26582,142,3,5,9,8493,33,322,3,6,5,0,0,0,0,7,8,0,0,314779,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:29.272,6436238,829020507,0,5200,2,51,1088,3,3,5,9,870,13,51,3,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:29.320,6436098,829020464,0,71712,1,353689,3614,822,2,5,8,8856,49,353689,822,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:29.417,6436098,16169944,0,68584,1,0,1115,0,1,5,8,8715,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:29.699,6436238,15798100,0,608,1,0,116,0,3,5,9,120,3,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:29.707,6436238,15798067,220,0,2,0,0,0,1,5,8,220,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:29.762,6436097,828962127,0,9520,5,0,4999,0,3,5,9,1449,48,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:29.782,6436098,15798075,0,2752,0,0,470,0,2,5,8,344,4,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:29.800,6436096,15798093,0,0,0,0,0,0,2,5,8,0,0,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:29.864,6436096,828959225,0,75176,13,93733,6938,73,2,5,9,8683,31,93733,73,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:30.057,6436238,15941773,0,205504,143,73965,652978,212,2,5,9,53585,282,73965,212,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:30.160,6436098,16292426,0,3248,0,0,432,0,3,5,9,406,4,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:30.232,6436098,16292370,0,126392,25,150413,35541,510,3,5,9,31226,65,148136,509,6,5,0,0,0,0,7,8,0,0,2277,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:30.254,6436238,15797715,0,47824,10,0,1795,0,4,5,9,0,0,0,0,7,5,0,0,0,0,6,8,0,0,0,0,8,1,6790,174,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:30.345,6436098,15798094,0,2192,0,0,322,0,3,5,9,274,3,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:30.454,6436098,15887886,0,15840,17,1024,4234,73,3,6,5,0,0,0,0,8,9,14795,26,1024,73,5,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:30.615,6436098,829020504,0,91584,12,70252,24107,675,2,5,9,17312,40,70252,675,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:30.788,6436138,829020070,338114,74672,1368,419450,13118,1440,3,5,9,412786,1465,419450,1440,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:30.807,6436098,829020604,0,32,0,0,0,0,3,5,9,0,1,0,0,6,5,0,1,0,0,7,8,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:30.944,6436096,15942031,0,0,0,0,0,0,3,5,9,0,0,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:30.982,6436097,16169952,0,174568,156,201211,466106,223,1,5,9,86346,348,201211,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:31.126,6436098,15942362,0,3856,0,0,419,0,3,5,9,482,6,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:31.127,6436096,16292209,0,1984,2,0,0,0,3,5,9,566,3,0,0,6,8,0,0,0,0,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:31.170,6436096,15942377,8275,42888,55,23106,3745,56,3,5,9,51163,70,23106,56,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:31.395,6436098,15942396,0,504,1,0,72,0,3,5,9,117,3,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:31.397,6436097,15942342,0,316640,170,83247,636713,211,3,5,9,69431,467,83247,211,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:31.417,6436238,15942342,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:31.643,6436097,15887774,0,49552,3,4241,3916,2,2,5,9,6687,13,4241,2,6,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:31.871,6436096,829020453,1316,14080,91,251131,34343,205,3,5,9,15396,120,251131,205,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:31.871,6436098,15886403,0,77576,17,523,32390,7,3,5,9,14299,107,0,0,6,8,0,0,192,4,7,7,0,0,331,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:31.987,6436136,829020432,0,46872,6,173529,3562,385,3,5,9,11106,29,173529,385,8,5,0,0,0,0,6,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:32.140,6436238,15797458,0,21216,13,185,1520,16,3,5,9,9287,26,185,16,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:32.138,6436097,15942391,0,0,0,0,0,0,2,5,9,0,0,0,0,6,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:32.279,6436098,16169896,0,2128,1,0,60,0,2,5,9,891,6,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:32.355,6436238,15942399,0,8896,12,2181,8819,1,3,5,9,7779,21,0,0,6,5,0,0,0,0,7,8,0,0,2181,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:32.735,6436098,15887860,0,222936,57,431956,181013,1466,2,5,9,46813,153,431956,1466,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:32.750,6436238,15886921,0,21568,22,4698,201973,9,3,5,9,4473,52,4698,9,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:32.770,6436097,15887221,0,19040,21,178098,57413,54,3,5,9,6261,43,178098,54,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:32.948,6436238,15887689,0,138856,242,82886,655568,481,3,5,9,57329,349,82886,481,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:33.316,6436097,16292423,0,141552,66,24066,56289,22,3,5,9,75495,118,24066,22,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:33.440,6436097,16292307,26450,1392,1616,413761,130978,532,3,5,9,27842,1649,413761,532,7,5,0,0,0,0,6,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:33.476,6436098,829020598,0,248544,8,524138,194741,1874,2,5,9,37661,141,524138,1874,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:33.600,6436098,16292286,0,16720,3,75662,1490,63,3,5,9,2514,9,75662,63,6,8,0,0,0,0,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:33.729,6436098,829020591,0,23856,4,13493,5358,15,3,5,8,3675,20,13493,15,6,5,0,0,0,0,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:33.839,6436096,16169950,0,1488,1,0,551,0,2,5,8,288,3,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
