Datetime,Serving_Cell_Id, Call_Id, ulRetransErrorNumber,ulCrcInitTransTotalNumber,dlRetransErrorNumber,dlCode0InitTransTotalNumber,dlCode1InitTransTotalNumber,ulRbUsedNumber,dlRbUsedNumber,dlWidebandCqiCode0,dlWidebandCqiCode1,rankIndication
2025-02-27 05:41:58.610,6436096,15887468,0,453,0,7,0,0,28,6,255,0,
2025-02-27 05:41:58.660,6436238,16102365,0,116,0,201,190,476,4985,15,15,255,
2025-02-27 05:41:58.774,6436097,16291914,0,30,0,74,0,415,4444,13,8,0,
2025-02-27 05:41:58.831,6436098,16291742,0,39,0,109,17,2055,7297,6,3,0,
2025-02-27 05:41:58.876,6436098,15941970,0,3,0,2,0,0,4,12,255,0,
2025-02-27 05:41:58.906,6436238,829019968,3,148,0,385,367,502,16359,13,13,255,
2025-02-27 05:41:58.940,6436098,15887469,0,13,0,4,0,76,8,14,255,0,
2025-02-27 05:41:58.942,6436098,829020212,0,8,0,4,0,0,12,6,5,0,
2025-02-27 05:41:59.004,6436098,829020036,0,15,0,13,13,68,54,6,6,1,
2025-02-27 05:41:59.060,6436097,16169539,0,39,0,19,9,41,43,13,10,0,
2025-02-27 05:41:59.151,6436097,16291988,0,16,0,3,3,6,5,14,12,1,
2025-02-27 05:41:59.262,6436238,15797458,1,119,0,467,0,338,15753,8,8,0,
2025-02-27 05:41:59.450,6436098,15797579,0,77,0,144,0,2292,3177,8,255,0,
2025-02-27 05:41:59.745,6436098,15941773,0,216,0,462,457,895,10216,12,10,1,
2025-02-27 05:41:59.750,6436098,15885154,0,224,0,516,177,2256,13128,15,8,0,
2025-02-27 05:41:59.798,6436096,15941872,0,501,0,25,10,241,91,11,8,0,
2025-02-27 05:41:59.818,6436226,15941872,4294967295,4294967295,0,0,0,4294967295,0,5,7,1,
2025-02-27 05:41:59.887,6436098,15797711,0,3,0,3,0,2,6,11,255,0,
2025-02-27 05:41:59.968,6436097,15887221,0,110,0,150,6,2414,5912,10,10,1,
2025-02-27 05:42:00.084,6436096,16169421,0,675,0,231,0,10120,5072,5,4,0,
2025-02-27 05:42:00.106,6436097,829020207,0,297,0,738,0,4298,44536,7,255,0,
2025-02-27 05:42:00.449,6436096,16169494,0,471,0,10,6,59,36,5,3,1,
2025-02-27 05:42:00.862,6436097,15887480,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,14,13,1,
2025-02-27 05:42:00.901,6436238,15941974,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,13,255,255,
2025-02-27 05:42:00.986,6436098,15941533,0,1176,0,126,9,526,277,6,5,0,
2025-02-27 05:42:01.009,6436238,15886921,0,114,0,276,0,340,5721,15,15,1,
2025-02-27 05:42:01.113,6436098,15887449,0,45,0,212,1,1099,9332,6,10,0,
2025-02-27 05:42:01.115,6436098,15797715,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,11,255,0,
