Datetime,Serving_Cell_Id, Call_Id, ta
2025-02-27 05:58:28.495,6436098,829021268,0,
2025-02-27 05:58:28.529,6436098,829021270,48,
2025-02-27 05:58:28.552,6436097,16293258,0,
2025-02-27 05:58:28.571,6436098,15943146,16,
2025-02-27 05:58:28.592,6436098,15943084,64,
2025-02-27 05:58:28.690,6436098,15888632,48,
2025-02-27 05:58:28.694,6436097,16170717,16,
2025-02-27 05:58:28.704,6436096,15798827,32,
2025-02-27 05:58:28.720,6436137,829021217,112,
2025-02-27 05:58:28.748,6436096,15798832,16,
2025-02-27 05:58:28.832,6436098,15888695,64,
2025-02-27 05:58:28.877,6436098,16170709,64,
2025-02-27 05:58:29.019,6436098,829021272,48,
2025-02-27 05:58:29.029,6436098,16170701,16,
2025-02-27 05:58:29.105,6436098,16170261,16,
2025-02-27 05:58:29.239,6436098,16293253,48,
2025-02-27 05:58:29.266,6436098,16293014,48,
2025-02-27 05:58:29.318,6436097,16170719,32,
2025-02-27 05:58:29.339,6436097,15798594,16,
2025-02-27 05:58:29.356,6436096,829021050,64,
2025-02-27 05:58:29.442,6436096,829020798,16,
2025-02-27 05:58:29.516,6436098,16170512,32,
2025-02-27 05:58:29.537,6436097,16293145,0,
2025-02-27 05:58:29.563,6436097,15943113,0,
2025-02-27 05:58:29.573,6436098,15943101,64,
2025-02-27 05:58:29.597,6436096,15798800,16,
2025-02-27 05:58:29.604,6436096,15798832,16,
2025-02-27 05:58:29.618,6436097,829021100,16,
2025-02-27 05:58:29.736,6436098,829021270,48,
2025-02-27 05:58:29.754,6436098,829021232,48,
2025-02-27 05:58:29.795,6436096,16170510,16,
2025-02-27 05:58:29.828,6436096,15942286,16,
2025-02-27 05:58:29.870,6436097,15798833,48,
2025-02-27 05:58:29.889,6436096,829021285,16,
2025-02-27 05:58:29.942,6436096,15943094,32,
2025-02-27 05:58:30.027,6436098,16170692,0,
2025-02-27 05:58:30.028,6436097,16293247,0,
2025-02-27 05:58:30.029,6436097,829021274,0,
2025-02-27 05:58:30.102,6436097,16293254,16,
2025-02-27 05:58:30.117,6436178,829021286,16,
2025-02-27 05:58:30.146,6436098,15798762,48,
2025-02-27 05:58:30.152,6436096,829020217,48,
2025-02-27 05:58:30.161,6436097,15888689,16,
2025-02-27 05:58:30.176,6436097,15943147,16,
2025-02-27 05:58:30.178,6436098,16170721,32,
2025-02-27 05:58:30.238,6436098,15798811,48,
2025-02-27 05:58:30.246,6436098,15798834,32,
2025-02-27 05:58:30.275,6436098,16170694,32,
2025-02-27 05:58:30.307,6436096,829021233,16,
2025-02-27 05:58:30.319,6436098,15888697,16,
2025-02-27 05:58:30.339,6436098,15943148,32,
2025-02-27 05:58:30.357,6436096,15798807,16,
2025-02-27 05:58:30.374,6436096,15888691,48,
2025-02-27 05:58:30.375,6436097,829020790,64,
2025-02-27 05:58:30.512,6436097,16293249,0,
2025-02-27 05:58:30.591,6436097,15888683,32,
2025-02-27 05:58:30.700,6436096,16293250,32,
2025-02-27 05:58:30.749,6436097,15798826,16,
2025-02-27 05:58:30.765,6436096,15798675,32,
2025-02-27 05:58:30.776,6436096,16222942,0,
2025-02-27 05:58:30.807,6436098,15794397,32,
2025-02-27 05:58:30.831,6436098,16170706,64,
2025-02-27 05:58:30.849,6436238,829021278,16,
2025-02-27 05:58:30.865,6436096,15943035,32,
2025-02-27 05:58:30.882,6436098,15872833,2048,
2025-02-27 05:58:30.883,6436097,16292889,16,
2025-02-27 05:58:30.928,6436178,829021288,80,
2025-02-27 05:58:30.939,6436096,829020938,0,
2025-02-27 05:58:30.957,6436096,15888069,48,
2025-02-27 05:58:30.972,6436096,15798829,48,
2025-02-27 05:58:30.980,6436097,16293005,0,
2025-02-27 05:58:31.032,6436098,15798831,16,
2025-02-27 05:58:31.065,6436098,15942991,32,
2025-02-27 05:58:31.068,6436178,829021286,0,
2025-02-27 05:58:31.074,6436098,828960199,0,
2025-02-27 05:58:31.096,6436098,15798599,16,
2025-02-27 05:58:31.159,6436098,15942604,0,
2025-02-27 05:58:31.160,6436097,15798835,16,
2025-02-27 05:58:31.168,6436098,15888698,48,
2025-02-27 05:58:31.170,6436098,16293236,48,
2025-02-27 05:58:31.214,6436097,15942209,16,
2025-02-27 05:58:31.281,6436096,15798819,16,
2025-02-27 05:58:31.275,6436238,829021279,32,
2025-02-27 05:58:31.375,6436097,15888684,16,
2025-02-27 05:58:31.402,6436097,16170714,80,
2025-02-27 05:58:31.450,6436097,829021289,128,
2025-02-27 05:58:31.642,6436096,15888667,0,
2025-02-27 05:58:31.656,6436096,15798825,48,
2025-02-27 05:58:31.674,6436097,15798830,0,
2025-02-27 05:58:31.708,6436098,829021263,16,
2025-02-27 05:58:31.719,6436097,16170723,0,
2025-02-27 05:58:31.754,6436096,829021290,32,
2025-02-27 05:58:31.759,6436098,15941508,32,
2025-02-27 05:58:31.763,6436096,15798836,64,
2025-02-27 05:58:31.794,6436098,16170708,0,
2025-02-27 05:58:31.829,6436098,16293209,32,
2025-02-27 05:58:31.866,6436096,16291412,0,
2025-02-27 05:58:31.904,6436098,829020929,64,
2025-02-27 05:58:31.925,6436098,829020930,48,
2025-02-27 05:58:31.940,6436096,16293260,64,
2025-02-27 05:58:31.992,6436096,829021257,32,
2025-02-27 05:58:31.996,6436096,16293256,48,
2025-02-27 05:58:32.000,6436098,15798821,16,
2025-02-27 05:58:32.006,6436096,15888700,16,
2025-02-27 05:58:32.029,6436097,829021215,32,
2025-02-27 05:58:32.045,6436098,829020931,32,
2025-02-27 05:58:32.089,6436097,15941948,16,
2025-02-27 05:58:32.187,6436098,15798719,32,
2025-02-27 05:58:32.373,6436096,16293250,32,
2025-02-27 05:58:32.414,6436097,15798374,48,
2025-02-27 05:58:32.451,6436098,16170724,64,
2025-02-27 05:58:32.526,6436096,16293246,32,
2025-02-27 05:58:32.560,6436098,15888701,16,
2025-02-27 05:58:32.627,6436137,15942569,96,
2025-02-27 05:58:32.669,6436098,16293240,32,
2025-02-27 05:58:32.729,6436098,15888668,32,
2025-02-27 05:58:32.739,6436096,15818787,16,
2025-02-27 05:58:32.820,6436096,829021269,48,
2025-02-27 05:58:32.822,6436097,16170637,0,
2025-02-27 05:58:32.850,6436098,15798416,32,
2025-02-27 05:58:32.874,6436097,16168453,0,
2025-02-27 05:58:32.942,6436098,15888701,64,
2025-02-27 05:58:32.984,6436098,16292917,48,
2025-02-27 05:58:32.991,6436098,829021225,32,
2025-02-27 05:58:33.032,6436098,15943145,0,
2025-02-27 05:58:33.041,6436097,15798838,16,
2025-02-27 05:58:33.166,6436097,16170716,0,
2025-02-27 05:58:33.171,6436098,15888690,16,
2025-02-27 05:58:33.189,6436098,16170715,32,
2025-02-27 05:58:33.201,6436098,15888693,48,
2025-02-27 05:58:33.201,6436098,15942781,32,
2025-02-27 05:58:33.212,6436138,16293261,64,
2025-02-27 05:58:33.240,6436097,16170272,0,
2025-02-27 05:58:33.265,6436096,15943152,64,
2025-02-27 05:58:33.269,6436098,16170707,0,
2025-02-27 05:58:33.291,6436096,828964597,0,
2025-02-27 05:58:33.317,6436098,16170725,48,
2025-02-27 05:58:33.395,6436098,15888702,0,
2025-02-27 05:58:33.471,6436097,829021136,64,
2025-02-27 05:58:33.472,6436097,16293258,0,
2025-02-27 05:58:33.491,6436098,15943146,16,
2025-02-27 05:58:33.527,6436097,16289530,0,
2025-02-27 05:58:33.614,6436097,16170717,16,
2025-02-27 05:58:33.695,6436238,16170708,16,
2025-02-27 05:58:33.712,6436098,15943084,64,
2025-02-27 05:58:33.752,6436098,15888695,48,
2025-02-27 05:58:33.810,6436098,15888632,32,
2025-02-27 05:58:33.840,6436137,829021217,112,
2025-02-27 05:58:34.081,6436238,15943153,64,
2025-02-27 05:58:34.139,6436098,829021272,48,
2025-02-27 05:58:34.186,6436098,16293014,48,
2025-02-27 05:58:34.189,6436097,15888689,0,
2025-02-27 05:58:34.221,6436097,15888703,16,
2025-02-27 05:58:34.225,6436098,16170261,16,
2025-02-27 05:58:34.238,6436097,16170719,16,
2025-02-27 05:58:34.276,6436096,829021050,48,
2025-02-27 05:58:34.459,6436097,15798594,16,
2025-02-27 05:58:34.483,6436097,15943113,0,
2025-02-27 05:58:34.524,6436096,15798832,16,
2025-02-27 05:58:34.562,6436096,829020798,16,
2025-02-27 05:58:34.636,6436098,16170512,32,
2025-02-27 05:58:34.657,6436097,16293145,0,
2025-02-27 05:58:34.693,6436098,15943101,64,
2025-02-27 05:58:34.717,6436096,15798800,16,
2025-02-27 05:58:34.738,6436097,829021100,16,
2025-02-27 05:58:34.790,6436097,15798833,32,
2025-02-27 05:58:34.809,6436096,829021285,16,
2025-02-27 05:58:34.853,6436097,16170723,0,
2025-02-27 05:58:34.874,6436098,829021232,48,
2025-02-27 05:58:34.904,6436096,15798836,64,
2025-02-27 05:58:34.915,6436096,16170510,16,
2025-02-27 05:58:34.948,6436096,15942286,16,
2025-02-27 05:58:34.989,6436096,15943154,64,
2025-02-27 05:58:35.000,6436098,15888704,32,
2025-02-27 05:58:35.005,6436098,16293262,64,
2025-02-27 05:58:35.062,6436096,15943094,32,
2025-02-27 05:58:35.082,6436096,15798841,16,
2025-02-27 05:58:35.096,6436097,15943147,16,
2025-02-27 05:58:35.098,6436098,16170721,32,
2025-02-27 05:58:35.147,6436098,16170692,0,
2025-02-27 05:58:35.148,6436097,16293247,0,
2025-02-27 05:58:35.149,6436097,829021274,0,
2025-02-27 05:58:35.166,6436098,15798834,64,
2025-02-27 05:58:35.222,6436097,16293254,16,
2025-02-27 05:58:35.239,6436098,15888697,16,
2025-02-27 05:58:35.259,6436098,15943148,32,
2025-02-27 05:58:35.272,6436096,829020217,48,
2025-02-27 05:58:35.358,6436098,15798811,48,
2025-02-27 05:58:35.383,6436097,15888705,0,
2025-02-27 05:58:35.395,6436098,16170694,48,
2025-02-27 05:58:35.427,6436096,829021233,16,
2025-02-27 05:58:35.432,6436097,16293249,0,
2025-02-27 05:58:35.477,6436178,15798842,16,
2025-02-27 05:58:35.495,6436097,829020790,64,
2025-02-27 05:58:35.696,6436096,16222942,0,
2025-02-27 05:58:35.711,6436097,15888683,32,
2025-02-27 05:58:35.735,6436098,16170728,32,
2025-02-27 05:58:35.760,6436096,16293260,48,
2025-02-27 05:58:35.770,6436096,15888700,16,
2025-02-27 05:58:35.848,6436178,829021288,64,
2025-02-27 05:58:35.885,6436096,15798675,32,
2025-02-27 05:58:35.927,6436098,15794397,32,
2025-02-27 05:58:35.931,6436097,16293263,80,
2025-02-27 05:58:35.951,6436098,16170706,64,
2025-02-27 05:58:35.952,6436098,15798831,16,
2025-02-27 05:58:35.970,6436238,829021278,32,
2025-02-27 05:58:35.985,6436096,15943035,32,
2025-02-27 05:58:35.988,6436178,829021286,0,
2025-02-27 05:58:36.002,6436098,15872833,2048,
2025-02-27 05:58:36.003,6436097,16292889,16,
2025-02-27 05:58:36.059,6436096,829020938,0,
2025-02-27 05:58:36.077,6436096,15888069,48,
2025-02-27 05:58:36.080,6436097,15798835,16,
2025-02-27 05:58:36.088,6436098,15888698,32,
2025-02-27 05:58:36.100,6436097,16293005,0,
2025-02-27 05:58:36.185,6436098,15942991,32,
2025-02-27 05:58:36.194,6436098,828960199,0,
2025-02-27 05:58:36.216,6436098,15798599,16,
2025-02-27 05:58:36.279,6436098,15942604,0,
2025-02-27 05:58:36.305,6436096,15943152,48,
2025-02-27 05:58:36.334,6436097,15942209,16,
2025-02-27 05:58:36.396,6436238,829021279,32,
2025-02-27 05:58:36.427,6436096,15942991,48,
2025-02-27 05:58:36.495,6436097,15888684,16,
2025-02-27 05:58:36.700,6436098,15888706,16,
2025-02-27 05:58:36.762,6436096,15888667,0,
2025-02-27 05:58:36.769,6436098,15798843,32,
2025-02-27 05:58:36.794,6436097,15798830,0,
2025-02-27 05:58:36.828,6436098,829021263,16,
2025-02-27 05:58:36.844,6436097,15798833,32,
2025-02-27 05:58:36.879,6436098,15941508,32,
2025-02-27 05:58:36.949,6436098,16293209,32,
2025-02-27 05:58:36.986,6436096,16291412,0,
2025-02-27 05:58:37.024,6436098,829020929,64,
2025-02-27 05:58:37.045,6436098,829020930,48,
2025-02-27 05:58:37.112,6436096,829021257,32,
2025-02-27 05:58:37.112,6436097,15888689,0,
2025-02-27 05:58:37.116,6436096,16293256,48,
2025-02-27 05:58:37.120,6436098,15798821,16,
2025-02-27 05:58:37.149,6436097,829021215,32,
2025-02-27 05:58:37.165,6436098,829020931,32,
2025-02-27 05:58:37.209,6436097,15941948,16,
2025-02-27 05:58:37.216,6436098,15888698,32,
2025-02-27 05:58:37.307,6436098,15798719,0,
2025-02-27 05:58:37.371,6436098,16170724,64,
2025-02-27 05:58:37.534,6436097,15798374,64,
2025-02-27 05:58:37.646,6436096,16293246,32,
2025-02-27 05:58:37.654,6436096,16170729,16,
2025-02-27 05:58:37.747,6436137,15942569,96,
2025-02-27 05:58:37.744,6436238,16170708,32,
2025-02-27 05:58:37.789,6436098,16293240,32,
2025-02-27 05:58:37.849,6436098,15888668,48,
2025-02-27 05:58:37.859,6436096,15818787,16,
2025-02-27 05:58:37.862,6436098,15888701,16,
2025-02-27 05:58:37.942,6436097,16170637,0,
2025-02-27 05:58:37.961,6436097,15798838,16,
2025-02-27 05:58:37.970,6436098,15798416,32,
2025-02-27 05:58:37.994,6436097,16168453,0,
2025-02-27 05:58:38.080,6436097,16293265,96,
2025-02-27 05:58:38.085,6436098,15888704,32,
2025-02-27 05:58:38.095,6436178,829021293,16,
2025-02-27 05:58:38.104,6436098,16292917,48,
2025-02-27 05:58:38.111,6436098,829021225,32,
2025-02-27 05:58:38.152,6436098,15943145,0,
2025-02-27 05:58:38.237,6436098,16170725,32,
2025-02-27 05:58:38.286,6436097,16170716,0,
2025-02-27 05:58:38.291,6436098,15888690,16,
2025-02-27 05:58:38.308,6436096,829021294,32,
2025-02-27 05:58:38.315,6436098,15888702,0,
2025-02-27 05:58:38.321,6436098,15942781,32,
2025-02-27 05:58:38.321,6436098,15888693,48,
2025-02-27 05:58:38.360,6436097,16170272,0,
2025-02-27 05:58:38.411,6436096,828964597,0,
2025-02-27 05:58:38.576,6436096,15888708,32,
2025-02-27 05:58:38.591,6436097,829021136,64,
2025-02-27 05:58:38.611,6436098,15943146,16,
2025-02-27 05:58:38.647,6436097,16289530,0,
2025-02-27 05:58:38.734,6436097,16170717,16,
2025-02-27 05:58:38.832,6436098,15943084,64,
2025-02-27 05:58:38.930,6436098,15888632,32,
2025-02-27 05:58:38.960,6436137,829021217,112,
2025-02-27 05:58:39.109,6436238,15943153,0,
2025-02-27 05:58:39.141,6436097,15888703,0,
2025-02-27 05:58:39.259,6436098,829021272,32,
2025-02-27 05:58:39.306,6436098,16293014,48,
2025-02-27 05:58:39.333,6436096,15798846,48,
2025-02-27 05:58:39.345,6436098,16170261,16,
2025-02-27 05:58:39.358,6436097,16170719,16,
2025-02-27 05:58:39.501,6436098,16170731,64,
2025-02-27 05:58:39.579,6436097,15798594,16,
2025-02-27 05:58:39.603,6436097,15943113,0,
2025-02-27 05:58:39.669,6436098,15888632,32,
2025-02-27 05:58:39.682,6436096,829020798,16,
2025-02-27 05:58:39.773,6436097,16170723,0,
2025-02-27 05:58:39.777,6436097,16293145,0,
2025-02-27 05:58:39.824,6436096,15798836,64,
2025-02-27 05:58:39.837,6436096,15942991,32,
2025-02-27 05:58:39.837,6436096,15798800,16,
2025-02-27 05:58:39.858,6436097,829021100,16,
2025-02-27 05:58:39.909,6436096,15943154,48,
2025-02-27 05:58:39.925,6436098,16293262,64,
2025-02-27 05:58:39.929,6436096,829021285,16,
2025-02-27 05:58:39.994,6436098,829021232,48,
2025-02-27 05:58:40.002,6436096,15798841,16,
2025-02-27 05:58:40.035,6436096,16170510,16,
2025-02-27 05:58:40.068,6436096,15942286,16,
2025-02-27 05:58:40.182,6436096,15943094,32,
2025-02-27 05:58:40.227,6436096,15943155,32,
2025-02-27 05:58:40.267,6436098,16170692,0,
2025-02-27 05:58:40.268,6436097,16293247,0,
2025-02-27 05:58:40.269,6436097,829021274,0,
2025-02-27 05:58:40.303,6436097,15888705,0,
2025-02-27 05:58:40.392,6436096,829020217,48,
2025-02-27 05:58:40.397,6436178,15798842,48,
2025-02-27 05:58:40.478,6436098,15798811,48,
2025-02-27 05:58:40.515,6436098,16170694,48,
2025-02-27 05:58:40.547,6436096,829021233,16,
2025-02-27 05:58:40.552,6436097,16293249,0,
2025-02-27 05:58:40.615,6436097,829020790,48,
2025-02-27 05:58:40.655,6436098,16170728,32,
2025-02-27 05:58:40.656,6436098,16170732,16,
2025-02-27 05:58:40.658,6436137,829021295,96,
2025-02-27 05:58:40.680,6436096,16293260,32,
2025-02-27 05:58:40.690,6436096,15888700,16,
2025-02-27 05:58:40.715,6436096,15798847,32,
2025-02-27 05:58:40.816,6436096,16222942,0,
2025-02-27 05:58:40.831,6436097,15888683,32,
2025-02-27 05:58:40.832,6436097,15888711,96,
2025-02-27 05:58:40.833,6436096,16293267,48,
2025-02-27 05:58:40.851,6436097,16293263,80,
2025-02-27 05:58:40.968,6436178,829021288,64,
2025-02-27 05:58:40.977,6436098,15943156,48,
2025-02-27 05:58:41.005,6436096,15798675,32,
2025-02-27 05:58:41.047,6436098,15794397,32,
2025-02-27 05:58:41.091,6436238,829021278,16,
2025-02-27 05:58:41.105,6436096,15943035,32,
2025-02-27 05:58:41.108,6436178,829021286,0,
2025-02-27 05:58:41.122,6436098,15872833,2048,
2025-02-27 05:58:41.123,6436097,16292889,16,
2025-02-27 05:58:41.168,6436097,15798848,0,
2025-02-27 05:58:41.179,6436096,829020938,0,
2025-02-27 05:58:41.197,6436096,15888069,48,
2025-02-27 05:58:41.220,6436097,16293005,0,
2025-02-27 05:58:41.231,6436097,16170733,16,
2025-02-27 05:58:41.251,6436098,16170734,32,
2025-02-27 05:58:41.281,6436098,16293268,64,
2025-02-27 05:58:41.295,6436098,829021296,16,
2025-02-27 05:58:41.314,6436098,828960199,0,
2025-02-27 05:58:41.336,6436098,15798599,16,
2025-02-27 05:58:41.353,6436096,15943157,16,
2025-02-27 05:58:41.399,6436098,15942604,0,
2025-02-27 05:58:41.454,6436097,15942209,16,
2025-02-27 05:58:41.517,6436238,829021279,32,
2025-02-27 05:58:41.615,6436097,15888684,16,
2025-02-27 05:58:41.620,6436098,15888706,16,
2025-02-27 05:58:41.689,6436098,15798843,32,
2025-02-27 05:58:41.914,6436097,15798830,0,
2025-02-27 05:58:41.948,6436098,829021263,16,
2025-02-27 05:58:41.999,6436098,15941508,32,
2025-02-27 05:58:42.069,6436098,16293209,32,
2025-02-27 05:58:42.106,6436096,16291412,0,
2025-02-27 05:58:42.144,6436098,829020929,64,
2025-02-27 05:58:42.165,6436098,829020930,48,
2025-02-27 05:58:42.240,6436098,15798821,16,
2025-02-27 05:58:42.269,6436097,829021215,32,
2025-02-27 05:58:42.285,6436098,829020931,32,
2025-02-27 05:58:42.329,6436097,15941948,16,
2025-02-27 05:58:42.388,6436097,16170735,16,
2025-02-27 05:58:42.393,6436096,15798846,32,
2025-02-27 05:58:42.427,6436098,15798719,32,
2025-02-27 05:58:42.574,6436096,16170729,0,
2025-02-27 05:58:42.654,6436097,15798374,64,
2025-02-27 05:58:42.766,6436096,16293246,32,
2025-02-27 05:58:42.774,6436098,15888713,16,
2025-02-27 05:58:42.867,6436137,15942569,96,
2025-02-27 05:58:42.893,6436098,16293269,48,
2025-02-27 05:58:42.909,6436098,16293240,32,
2025-02-27 05:58:42.930,6436097,829021297,96,
2025-02-27 05:58:42.979,6436096,15818787,16,
2025-02-27 05:58:43.000,6436097,16293265,80,
2025-02-27 05:58:43.005,6436098,15888704,32,
2025-02-27 05:58:43.015,6436178,829021293,16,
2025-02-27 05:58:43.081,6436097,15798838,16,
2025-02-27 05:58:43.090,6436098,15798416,32,
2025-02-27 05:58:43.105,6436096,15798850,0,
2025-02-27 05:58:43.114,6436097,16168453,0,
2025-02-27 05:58:43.224,6436098,16292917,32,
