Datetime,Serving_Cell_Id, Call_Id, uePhr,dlWidebandCqiCode0,dlWidebandCqiCode1,ulDmrsSinr,taValue,preambleTaValue,ulSrsSinr
2025-02-27 05:58:28.495,6436098,829021268,6,12,6,2134,0,84,2147483647,
2025-02-27 05:58:28.529,6436098,829021270,12,6,6,871,48,72,2147483647,
2025-02-27 05:58:28.552,6436097,16293258,46,14,255,2613,0,12,2147483647,
2025-02-27 05:58:28.571,6436098,15943146,33,12,10,3303,16,36,2147483647,
2025-02-27 05:58:28.592,6436098,15943084,17,10,7,1396,64,84,2147483647,
2025-02-27 05:58:28.690,6436138,15888632,255,9,4,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:58:28.690,6436098,15888632,23,5,7,905,48,84,2147483647,
2025-02-27 05:58:28.694,6436097,16170717,34,9,9,2618,16,36,2147483647,
2025-02-27 05:58:28.704,6436096,15798827,31,6,255,2077,32,48,2147483647,
2025-02-27 05:58:28.720,6436137,829021217,8,6,6,313,112,120,2147483647,
2025-02-27 05:58:28.748,6436096,15798832,35,10,255,2353,16,24,2147483647,
2025-02-27 05:58:28.736,6436238,15798832,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:58:28.832,6436098,15888695,27,9,255,2703,64,72,2147483647,
2025-02-27 05:58:28.877,6436098,16170709,37,12,11,2731,64,84,2147483647,
2025-02-27 05:58:28.865,6436228,16170709,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:58:28.865,6436238,16170709,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:58:29.019,6436098,829021272,34,8,255,2610,48,60,2147483647,
2025-02-27 05:58:29.029,6436138,16170701,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:58:29.029,6436098,16170701,31,15,12,2240,16,24,2147483647,
2025-02-27 05:58:29.105,6436098,16170261,37,13,12,2346,16,36,2147483647,
2025-02-27 05:58:29.239,6436098,16293253,1,11,255,1482,48,72,2147483647,
2025-02-27 05:58:29.266,6436098,16293014,36,7,5,2460,48,72,2147483647,
2025-02-27 05:58:29.266,6436138,16293014,255,4,10,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:58:29.254,6436238,16293014,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:58:29.318,6436097,16170719,30,14,14,2030,32,48,2147483647,
2025-02-27 05:58:29.339,6436097,15798594,31,8,7,2387,16,36,2147483647,
2025-02-27 05:58:29.339,6436137,15798594,255,9,9,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:58:29.356,6436096,829021050,32,4,255,2156,64,72,2147483647,
2025-02-27 05:58:29.442,6436096,829020798,44,10,9,1870,16,36,2147483647,
2025-02-27 05:58:29.516,6436098,16170512,28,6,9,1575,32,48,2147483647,
2025-02-27 05:58:29.516,6436138,16170512,255,10,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:58:29.537,6436097,16293145,43,14,9,2106,0,24,2147483647,
2025-02-27 05:58:29.563,6436097,15943113,21,6,255,319,0,24,2147483647,
2025-02-27 05:58:29.563,6436137,15943113,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:58:29.573,6436098,15943101,23,6,6,1768,64,84,2147483647,
2025-02-27 05:58:29.597,6436096,15798800,43,12,9,2274,16,36,2147483647,
2025-02-27 05:58:29.604,6436096,15798832,31,5,255,2420,16,24,2147483647,
2025-02-27 05:58:29.592,6436238,15798832,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:58:29.592,6436228,15798832,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:58:29.618,6436097,829021100,19,12,13,2059,16,24,2147483647,
2025-02-27 05:58:29.736,6436178,829021270,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:58:29.736,6436098,829021270,19,6,6,496,48,72,2147483647,
2025-02-27 05:58:29.754,6436098,829021232,33,7,11,2352,48,84,2147483647,
2025-02-27 05:58:29.795,6436096,16170510,33,8,7,2096,16,24,2147483647,
2025-02-27 05:58:29.828,6436096,15942286,29,11,10,1820,16,60,2147483647,
2025-02-27 05:58:29.870,6436097,15798833,33,12,12,2217,48,60,2147483647,
2025-02-27 05:58:29.889,6436096,829021285,53,9,255,3113,16,36,2147483647,
2025-02-27 05:58:29.942,6436096,15943094,33,7,255,1375,32,60,2147483647,
2025-02-27 05:58:30.027,6436138,16170692,255,8,7,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:58:30.027,6436098,16170692,38,11,13,2376,0,12,2147483647,
2025-02-27 05:58:30.028,6436097,16293247,24,13,7,2035,0,12,2147483647,
2025-02-27 05:58:30.029,6436097,829021274,39,10,1,2356,0,36,2147483647,
2025-02-27 05:58:30.102,6436097,16293254,31,11,255,1351,16,24,2147483647,
