Datetime,Serving_Cell_Id, Call_Id, eRabCount,eRabThroughputStatList[0].eRabId,eRabThroughputStatList[0].qci,eRabThroughputStatList[0].ulDataVolume,eRabThroughputStatList[0].dlDataVolume,eRabThroughputStatList[1].eRabId,eRabThroughputStatList[1].qci,eRabThroughputStatList[1].ulDataVolume,eRabThroughputStatList[1].dlDataVolume,eRabThroughputStatList[2].eRabId,eRabThroughputStatList[2].qci,eRabThroughputStatList[2].ulDataVolume,eRabThroughputStatList[2].dlDataVolume,eRabThroughputStatList[3].eRabId,eRabThroughputStatList[3].qci,eRabThroughputStatList[3].ulDataVolume,eRabThroughputStatList[3].dlDataVolume,eRabThroughputStatList[4].eRabId,eRabThroughputStatList[4].qci,eRabThroughputStatList[4].ulDataVolume,eRabThroughputStatList[4].dlDataVolume,eRabThroughputStatList[5].eRabId,eRabThroughputStatList[5].qci,eRabThroughputStatList[5].ulDataVolume,eRabThroughputStatList[5].dlDataVolume,eRabThroughputStatList[6].eRabId,eRabThroughputStatList[6].qci,eRabThroughputStatList[6].ulDataVolume,eRabThroughputStatList[6].dlDataVolume,eRabThroughputStatList[7].eRabId,eRabThroughputStatList[7].qci,eRabThroughputStatList[7].ulDataVolume,eRabThroughputStatList[7].dlDataVolume
2025-02-27 05:47:27.159,6436098,16169896,2,5,9,1626,0,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.615,6436098,15887860,2,5,9,83801,772133,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.629,6436238,15886921,3,5,9,12905,251349,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.650,6436097,15887221,3,5,9,3278,420,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.827,6436238,15887689,3,5,9,60290,737726,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.196,6436097,16292423,2,5,9,320,252,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.320,6436097,16292307,3,5,9,54074,744965,7,5,0,0,6,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.356,6436098,829020598,2,5,9,49904,801558,7,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.480,6436098,16292286,3,5,9,3285,86384,6,8,0,0,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.609,6436098,829020591,3,5,8,20665,895,6,5,0,0,7,7,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.719,6436096,16169950,2,5,8,7132,22467,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
