Datetime,Serving_Cell_Id, Call_Id, uePhr,dlWidebandCqiCode0,dlWidebandCqiCode1,ulDmrsSinr,taValue,preambleTaValue,ulSrsSinr
2025-02-27 05:36:29.436,6436097,16291571,35,13,11,2824,32,48,2147483647,
2025-02-27 05:36:29.462,6436098,829019770,24,14,13,2014,48,72,2147483647,
2025-02-27 05:36:29.479,6436097,16169095,31,2,6,1831,0,12,2147483647,
2025-02-27 05:36:29.492,6436098,828960199,29,13,8,2446,0,24,2147483647,
2025-02-27 05:36:29.492,6436138,828960199,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:36:29.496,6436096,15886899,31,5,255,1832,32,48,2147483647,
2025-02-27 05:36:29.497,6436238,828960199,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:36:29.519,6436238,829019658,29,15,15,2183,16,36,1829,
2025-02-27 05:36:29.540,6436098,16167169,33,9,8,2010,0,24,2147483647,
2025-02-27 05:36:29.520,6436226,16167169,255,8,6,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:36:29.537,6436238,16167169,255,14,8,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:36:29.552,6436097,16291564,35,13,8,2394,0,12,2147483647,
2025-02-27 05:36:29.581,6436096,829019789,38,11,12,1915,0,36,2147483647,
2025-02-27 05:36:29.580,6436238,15941520,27,13,255,1659,48,60,1005,
2025-02-27 05:36:29.590,6436238,15797229,30,15,15,1575,16,24,1406,
2025-02-27 05:36:29.573,6436226,15797229,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:36:29.600,6436098,15797242,32,9,10,2871,16,36,2147483647,
2025-02-27 05:36:29.606,6436097,15887013,13,7,255,1340,32,48,2147483647,
2025-02-27 05:36:29.625,6436097,15940562,30,9,7,1580,0,0,2147483647,
2025-02-27 05:36:29.648,6436238,15940562,255,5,5,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:36:29.657,6436096,15886969,30,6,255,2199,32,48,2147483647,
2025-02-27 05:36:29.659,6436098,15941521,26,8,7,3159,48,60,2147483647,
2025-02-27 05:36:29.659,6436097,16291572,7,10,255,500,96,108,2147483647,
2025-02-27 05:36:29.689,6436238,16169107,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:36:29.695,6436098,16169107,27,10,9,2195,0,0,2147483647,
2025-02-27 05:36:29.702,6436097,16169070,37,12,12,1926,16,24,2147483647,
2025-02-27 05:36:29.722,6436226,829019829,28,8,255,2293,64,72,1748,
2025-02-27 05:36:29.716,6436097,15797235,31,9,255,1806,32,60,2147483647,
2025-02-27 05:36:29.828,6436098,828964658,14,11,7,1014,32,60,2147483647,
2025-02-27 05:36:29.835,6436238,828964658,255,9,6,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:36:29.901,6436098,15797199,15,8,12,2184,32,60,2147483647,
2025-02-27 05:36:29.905,6436096,16291412,34,5,7,1462,0,12,2147483647,
2025-02-27 05:36:29.919,6436238,16291412,255,13,13,2147483647,4294967295,2147483647,2147483647,
