Datetime,Serving_Cell_Id, Call_Id, uePhr,dlWidebandCqiCode0,dlWidebandCqiCode1,ulDmrsSinr,taValue,preambleTaValue,ulSrsSinr
2025-02-27 05:41:58.586,6436096,829020219,27,6,9,986,64,96,2147483647,
2025-02-27 05:41:58.610,6436098,16291980,41,14,8,2328,32,36,2147483647,
2025-02-27 05:41:58.633,6436098,15887463,7,6,7,521,64,84,2147483647,
2025-02-27 05:41:58.646,6436097,15940648,35,12,9,2330,0,36,2147483647,
2025-02-27 05:41:58.696,6436097,16169563,8,5,8,473,0,0,2147483647,
2025-02-27 05:41:58.696,6436097,829020222,12,2,255,877,80,108,2147483647,
2025-02-27 05:41:58.721,6436238,15940648,255,10,7,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:58.776,6436096,16169435,31,10,10,2159,16,24,2147483647,
2025-02-27 05:41:58.793,6436097,15797619,14,13,10,1204,16,48,2147483647,
2025-02-27 05:41:58.790,6436238,16169435,255,14,9,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:58.830,6436097,16289530,31,10,5,2124,0,24,2147483647,
2025-02-27 05:41:58.831,6436137,16289530,255,9,6,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:58.853,6436098,16291973,34,7,6,2399,48,60,2147483647,
2025-02-27 05:41:58.861,6436226,16291973,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:58.849,6436238,16291973,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:58.870,6436137,15941948,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:58.870,6436097,15941948,30,12,12,1611,16,24,2147483647,
2025-02-27 05:41:58.883,6436097,15797708,28,15,255,1710,0,0,2147483647,
2025-02-27 05:41:58.888,6436096,16169559,33,9,5,2252,32,48,2147483647,
2025-02-27 05:41:58.893,6436238,15887477,25,13,255,2542,32,48,1494,
2025-02-27 05:41:58.894,6436238,15797709,28,7,7,2491,32,36,1476,
2025-02-27 05:41:58.908,6436098,15729487,33,8,8,2066,32,72,2147483647,
2025-02-27 05:41:58.913,6436096,16169530,36,10,4,1980,0,24,2147483647,
2025-02-27 05:41:58.906,6436238,16291967,31,13,13,1556,48,84,1410,
2025-02-27 05:41:58.923,6436226,16169530,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:58.911,6436238,16169530,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:58.985,6436238,16169564,20,15,255,2900,16,24,2220,
2025-02-27 05:41:58.999,6436098,16291994,33,13,10,3103,16,36,2147483647,
2025-02-27 05:41:59.038,6436097,16169488,39,14,6,2001,0,24,2147483647,
2025-02-27 05:41:59.067,6436097,16291960,9,12,14,519,80,108,2147483647,
2025-02-27 05:41:59.099,6436238,15941958,46,15,8,2306,16,48,-17,
2025-02-27 05:41:59.120,6436098,829020213,34,6,5,2226,64,84,2147483647,
2025-02-27 05:41:59.154,6436098,15941971,6,10,255,1184,48,72,2147483647,
2025-02-27 05:41:59.168,6436098,15886417,34,12,12,2101,32,48,2147483647,
2025-02-27 05:41:59.280,6436238,15886646,27,15,15,2602,48,60,1723,
2025-02-27 05:41:59.304,6436098,16291581,26,12,10,2296,32,48,2147483647,
2025-02-27 05:41:59.351,6436098,15797714,20,11,255,1365,64,84,2147483647,
2025-02-27 05:41:59.362,6436098,15887478,36,6,10,3085,48,60,2147483647,
2025-02-27 05:41:59.356,6436238,15887478,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:59.380,6436098,829020214,18,10,255,1780,48,84,2147483647,
2025-02-27 05:41:59.382,6436097,829020077,26,9,11,2086,16,24,2147483647,
2025-02-27 05:41:59.387,6436098,829020226,8,7,255,953,64,84,2147483647,
2025-02-27 05:41:59.396,6436098,15941959,56,15,255,2370,48,60,2147483647,
2025-02-27 05:41:59.460,6436226,15941960,255,8,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:59.448,6436238,15941960,32,11,11,1634,0,24,1116,
2025-02-27 05:41:59.458,6436138,15941508,255,10,12,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:59.458,6436098,15941508,41,10,9,2397,48,60,2147483647,
2025-02-27 05:41:59.473,6436238,15797710,29,9,255,1458,16,24,856,
2025-02-27 05:41:59.522,6436096,15940019,24,10,4,1140,0,24,2147483647,
2025-02-27 05:41:59.582,6436096,15941972,32,11,255,2624,16,36,2147483647,
2025-02-27 05:41:59.588,6436226,15941972,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:59.606,6436096,15818787,32,12,8,2260,16,48,2147483647,
2025-02-27 05:41:59.658,6436097,16168453,24,11,8,2099,16,24,2147483647,
2025-02-27 05:41:59.694,6436097,829020170,31,8,255,2170,32,72,2147483647,
2025-02-27 05:41:59.695,6436238,829020170,255,8,8,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:59.729,6436138,828960199,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:59.729,6436098,828960199,28,13,10,1791,0,24,2147483647,
2025-02-27 05:41:59.729,6436136,829020229,23,4,7,1697,160,168,2147483647,
2025-02-27 05:41:59.746,6436238,828960199,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:59.771,6436097,15797398,13,8,6,2131,0,48,2147483647,
2025-02-27 05:41:59.790,6436096,829020154,6,4,5,395,16,108,2147483647,
2025-02-27 05:41:59.808,6436226,829020154,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:59.802,6436238,15797398,255,9,6,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:59.829,6436097,15887471,44,9,255,1970,16,36,2147483647,
2025-02-27 05:41:59.844,6436098,829019643,23,10,7,2020,16,36,2147483647,
2025-02-27 05:41:59.863,6436098,15887412,15,13,15,1130,16,36,2147483647,
2025-02-27 05:41:59.865,6436238,15887412,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:59.929,6436098,16288084,46,10,13,2128,16,12,2147483647,
2025-02-27 05:41:59.938,6436098,16289962,33,8,9,2382,32,72,2147483647,
2025-02-27 05:41:59.946,6436098,15884458,54,13,7,2414,16,48,2147483647,
2025-02-27 05:41:59.960,6436137,15887351,255,12,12,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:41:59.961,6436097,15887351,15,11,5,1724,16,36,2147483647,
2025-02-27 05:41:59.979,6436238,15887152,21,15,15,1815,16,36,1425,
2025-02-27 05:41:59.999,6436098,829019658,35,7,5,2104,16,36,2147483647,
2025-02-27 05:41:59.999,6436138,829019658,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:42:00.009,6436096,15887420,28,8,8,1808,0,36,2147483647,
2025-02-27 05:42:00.022,6436226,15887420,255,10,8,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:42:00.009,6436238,15887420,255,13,8,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:42:00.048,6436097,828964411,7,7,5,182,64,84,2147483647,
2025-02-27 05:42:00.073,6436097,16291995,33,12,9,2806,16,24,2147483647,
2025-02-27 05:42:00.074,6436098,15887461,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:42:00.081,6436226,15887461,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:42:00.068,6436238,15887461,32,14,255,2414,32,60,2356,
2025-02-27 05:42:00.076,6436096,828964597,51,7,5,2292,0,24,2147483647,
2025-02-27 05:42:00.092,6436096,16169565,42,13,255,2481,16,36,2147483647,
