Datetime,Serving_Cell_Id, Call_Id, ulMcs,dlMcs
2025-02-27 05:41:58.610,6436096,15887468,22,2,
2025-02-27 05:41:58.659,6436238,16102365,22,17,
2025-02-27 05:41:58.774,6436097,16291914,25,24,
2025-02-27 05:41:58.830,6436098,16291742,10,12,
2025-02-27 05:41:58.876,6436098,15941970,8,6,
2025-02-27 05:41:58.905,6436238,829019968,22,9,
2025-02-27 05:41:58.940,6436098,15887469,13,10,
2025-02-27 05:41:58.942,6436098,829020212,19,5,
2025-02-27 05:41:59.004,6436098,829020036,21,8,
2025-02-27 05:41:59.060,6436097,16169539,26,18,
2025-02-27 05:41:59.151,6436097,16291988,24,16,
2025-02-27 05:41:59.261,6436238,15797458,26,11,
2025-02-27 05:41:59.450,6436098,15797579,17,12,
2025-02-27 05:41:59.744,6436098,15941773,26,17,
2025-02-27 05:41:59.749,6436098,15885154,26,19,
2025-02-27 05:41:59.798,6436096,15941872,25,13,
2025-02-27 05:41:59.817,6436226,15941872,4294967295,4294967295,
2025-02-27 05:41:59.887,6436098,15797711,15,11,
2025-02-27 05:41:59.968,6436097,15887221,16,21,
2025-02-27 05:42:00.084,6436096,16169421,22,5,
2025-02-27 05:42:00.106,6436097,829020207,24,9,
2025-02-27 05:42:00.449,6436096,16169494,26,2,
2025-02-27 05:42:00.985,6436098,15941533,21,13,
2025-02-27 05:42:01.008,6436238,15886921,26,26,
2025-02-27 05:42:01.113,6436098,15887449,16,11,
2025-02-27 05:42:01.230,6436137,15797707,18,8,
2025-02-27 05:42:01.230,6436097,15797707,4294967295,4294967295,
2025-02-27 05:42:01.448,6436098,15797712,21,19,
2025-02-27 05:42:01.526,6436098,16169431,12,21,
2025-02-27 05:42:01.842,6436098,15941955,26,17,
2025-02-27 05:42:01.885,6436097,15887473,16,10,
2025-02-27 05:42:02.080,6436097,828962127,19,13,
2025-02-27 05:42:02.134,6436098,15941938,11,26,
2025-02-27 05:42:02.130,6436238,15941938,4294967295,4294967295,
2025-02-27 05:42:02.182,6436096,828959225,21,4,
2025-02-27 05:42:02.434,6436096,16169549,21,11,
2025-02-27 05:42:02.487,6436098,15797698,19,17,
2025-02-27 05:42:02.584,6436098,15886403,26,10,
2025-02-27 05:42:02.590,6436096,829020168,19,4,
2025-02-27 05:42:03.002,6436098,16169557,26,19,
2025-02-27 05:42:03.106,6436138,829020070,7,9,
2025-02-27 05:42:03.132,6436137,16291849,12,20,
2025-02-27 05:42:03.440,6436096,15887476,25,2,
2025-02-27 05:42:03.530,6436098,16291987,3,10,
2025-02-27 05:42:03.779,6436238,16102365,22,18,
2025-02-27 05:42:03.894,6436097,16291914,26,24,
2025-02-27 05:42:03.950,6436098,16291742,9,15,
2025-02-27 05:42:04.025,6436238,829019968,22,9,
2025-02-27 05:42:04.060,6436098,15887469,7,23,
2025-02-27 05:42:04.124,6436098,829020036,21,7,
2025-02-27 05:42:04.180,6436097,16169539,26,15,
2025-02-27 05:42:04.381,6436238,15797458,26,11,
2025-02-27 05:42:04.570,6436098,15797579,17,13,
2025-02-27 05:42:04.864,6436098,15941773,27,18,
2025-02-27 05:42:04.869,6436098,15885154,26,20,
2025-02-27 05:42:04.918,6436096,15941872,25,12,
2025-02-27 05:42:04.938,6436226,15941872,4294967295,4294967295,
2025-02-27 05:42:05.088,6436097,15887221,20,18,
2025-02-27 05:42:05.204,6436096,16169421,22,8,
2025-02-27 05:42:05.226,6436097,829020207,25,10,
2025-02-27 05:42:05.569,6436096,16169494,26,2,
2025-02-27 05:42:05.821,6436238,15941974,26,15,
2025-02-27 05:42:06.035,6436098,15797715,21,16,
2025-02-27 05:42:06.105,6436098,15941533,21,1,
2025-02-27 05:42:06.129,6436238,15886921,26,26,
2025-02-27 05:42:06.233,6436098,15887449,15,11,
2025-02-27 05:42:06.568,6436098,15797712,24,15,
2025-02-27 05:42:06.646,6436098,16169431,12,18,
2025-02-27 05:42:06.962,6436098,15941955,26,13,
2025-02-27 05:42:07.005,6436097,15887473,16,14,
2025-02-27 05:42:07.009,6436097,16169566,22,8,
2025-02-27 05:42:07.200,6436097,828962127,20,14,
2025-02-27 05:42:07.254,6436098,15941938,17,22,
2025-02-27 05:42:07.251,6436238,15941938,4294967295,4294967295,
2025-02-27 05:42:07.269,6436096,15797719,26,14,
2025-02-27 05:42:07.302,6436096,828959225,21,9,
2025-02-27 05:42:07.351,6436097,15941976,25,21,
2025-02-27 05:42:07.554,6436096,16169549,21,6,
2025-02-27 05:42:07.704,6436098,15886403,26,9,
2025-02-27 05:42:07.881,6436097,16169567,17,21,
2025-02-27 05:42:08.169,6436098,829020230,19,8,
2025-02-27 05:42:08.226,6436138,829020070,7,12,
2025-02-27 05:42:08.252,6436137,16291849,14,23,
2025-02-27 05:42:08.350,6436226,829020168,11,7,
2025-02-27 05:42:08.560,6436096,15887476,26,4,
2025-02-27 05:42:08.557,6436238,15941978,26,21,
2025-02-27 05:42:08.650,6436098,16291987,3,17,
2025-02-27 05:42:08.892,6436097,15887480,26,23,
2025-02-27 05:42:08.885,6436238,15887480,4294967295,4294967295,
2025-02-27 05:42:08.900,6436238,16102365,22,17,
2025-02-27 05:42:09.014,6436097,16291914,26,26,
2025-02-27 05:42:09.070,6436098,16291742,12,16,
2025-02-27 05:42:09.146,6436238,829019968,22,7,
2025-02-27 05:42:09.180,6436098,15887469,7,23,
2025-02-27 05:42:09.244,6436098,829020036,23,10,
2025-02-27 05:42:09.300,6436097,16169539,25,16,
2025-02-27 05:42:09.502,6436238,15797458,26,10,
2025-02-27 05:42:09.690,6436098,15797579,14,14,
2025-02-27 05:42:09.829,6436137,15941977,21,6,
2025-02-27 05:42:09.829,6436097,15941977,4294967295,4294967295,
2025-02-27 05:42:09.984,6436098,15941773,27,19,
2025-02-27 05:42:09.989,6436098,15885154,26,18,
2025-02-27 05:42:10.038,6436096,15941872,25,9,
2025-02-27 05:42:10.059,6436226,15941872,4294967295,4294967295,
2025-02-27 05:42:10.208,6436097,15887221,21,17,
2025-02-27 05:42:10.213,6436098,15797722,26,17,
2025-02-27 05:42:10.324,6436096,16169421,22,8,
2025-02-27 05:42:10.346,6436097,829020207,24,13,
2025-02-27 05:42:10.689,6436096,16169494,25,6,
2025-02-27 05:42:10.760,6436097,15941981,13,18,
2025-02-27 05:42:10.842,6436098,16292000,21,12,
2025-02-27 05:42:11.155,6436098,15797715,22,22,
2025-02-27 05:42:11.250,6436238,15886921,26,26,
2025-02-27 05:42:11.353,6436098,15887449,18,9,
2025-02-27 05:42:11.688,6436098,15797712,18,19,
2025-02-27 05:42:11.766,6436098,16169431,13,19,
2025-02-27 05:42:12.125,6436097,15887473,14,15,
2025-02-27 05:42:12.129,6436097,16169566,21,10,
2025-02-27 05:42:12.320,6436097,828962127,20,15,
2025-02-27 05:42:12.422,6436096,828959225,21,7,
2025-02-27 05:42:12.684,6436096,16169549,21,7,
2025-02-27 05:42:12.834,6436098,15886403,26,14,
2025-02-27 05:42:13.356,6436138,829020070,6,12,
2025-02-27 05:42:13.382,6436137,16291849,11,19,
2025-02-27 05:42:13.427,6436097,15797727,25,16,
2025-02-27 05:42:13.471,6436226,829020168,5,12,
2025-02-27 05:42:13.690,6436096,15887476,26,9,
2025-02-27 05:42:13.678,6436238,15941978,26,23,
2025-02-27 05:42:13.780,6436098,16291987,3,20,
2025-02-27 05:42:14.022,6436097,15887480,26,23,
2025-02-27 05:42:14.006,6436238,15887480,4294967295,4294967295,
2025-02-27 05:42:14.021,6436238,16102365,21,18,
2025-02-27 05:42:14.144,6436097,16291914,26,26,
2025-02-27 05:42:14.200,6436098,16291742,11,20,
2025-02-27 05:42:14.267,6436238,829019968,22,12,
2025-02-27 05:42:14.374,6436098,829020036,21,12,
2025-02-27 05:42:14.430,6436097,16169539,25,16,
