Datetime,Serving_Cell_Id, Call_Id, uePhr
2025-02-27 05:58:28.422,6436098,15943133,30,
2025-02-27 05:58:28.478,6436097,16170705,31,
2025-02-27 05:58:28.714,6436098,15943143,34,
2025-02-27 05:58:29.144,6436228,829021282,26,
2025-02-27 05:58:29.301,6436098,15798498,47,
2025-02-27 05:58:29.301,6436228,829021283,20,
2025-02-27 05:58:29.327,6436096,828959225,41,
2025-02-27 05:58:29.425,6436098,16170712,31,
2025-02-27 05:58:29.455,6436228,829021284,22,
2025-02-27 05:58:29.504,6436096,15943131,29,
2025-02-27 05:58:29.504,6436136,15943131,255,
2025-02-27 05:58:29.643,6436098,829021096,17,
2025-02-27 05:58:29.680,6436097,15888696,38,
2025-02-27 05:58:29.736,6436096,829021273,30,
2025-02-27 05:58:29.857,6436098,16292742,24,
2025-02-27 05:58:29.864,6436097,15943144,29,
2025-02-27 05:58:29.919,6436098,16170416,31,
2025-02-27 05:58:29.972,6436098,15888597,28,
2025-02-27 05:58:30.170,6436098,16293255,5,
2025-02-27 05:58:30.296,6436238,829021275,29,
2025-02-27 05:58:30.363,6436238,829021276,30,
2025-02-27 05:58:30.442,6436098,15888642,30,
2025-02-27 05:58:30.494,6436097,16293248,32,
2025-02-27 05:58:30.575,6436098,16170722,33,
2025-02-27 05:58:30.684,6436097,15798808,41,
2025-02-27 05:58:30.757,6436098,16293259,12,
2025-02-27 05:58:30.833,6436097,16170593,31,
2025-02-27 05:58:30.870,6436178,16293257,255,
2025-02-27 05:58:30.870,6436098,16293257,16,
2025-02-27 05:58:30.858,6436228,16293257,255,
2025-02-27 05:58:30.887,6436098,16170713,24,
2025-02-27 05:58:30.984,6436098,15943140,41,
2025-02-27 05:58:31.130,6436098,15943097,39,
2025-02-27 05:58:31.217,6436098,829021264,31,
2025-02-27 05:58:31.362,6436096,829021122,28,
2025-02-27 05:58:31.404,6436178,829021280,53,
2025-02-27 05:58:31.511,6436098,15888692,20,
2025-02-27 05:58:31.551,6436097,16293208,16,
2025-02-27 05:58:31.573,6436097,15943149,18,
2025-02-27 05:58:31.759,6436098,15888685,32,
2025-02-27 05:58:31.870,6436096,16293243,47,
2025-02-27 05:58:32.121,6436137,16293089,255,
2025-02-27 05:58:32.121,6436097,16293089,37,
2025-02-27 05:58:32.206,6436098,15798837,32,
2025-02-27 05:58:32.257,6436097,15943151,26,
2025-02-27 05:58:32.269,6436098,829021179,10,
2025-02-27 05:58:32.283,6436098,15798725,9,
2025-02-27 05:58:32.420,6436097,16293053,30,
2025-02-27 05:58:32.441,6436098,16102365,33,
2025-02-27 05:58:32.532,6436238,829021281,22,
2025-02-27 05:58:32.793,6436097,15888696,40,
2025-02-27 05:58:32.781,6436238,15888696,255,
2025-02-27 05:58:32.982,6436098,829021291,6,
2025-02-27 05:58:33.105,6436098,15943132,31,
2025-02-27 05:58:33.185,6436238,15943143,14,
2025-02-27 05:58:33.325,6436238,16292742,28,
2025-02-27 05:58:33.362,6436097,829021228,11,
2025-02-27 05:58:33.448,6436098,829021292,6,
2025-02-27 05:58:33.455,6436238,16170722,10,
2025-02-27 05:58:33.705,6436098,15798839,31,
2025-02-27 05:58:33.693,6436238,15798839,255,
2025-02-27 05:58:34.065,6436228,829021282,26,
2025-02-27 05:58:34.222,6436228,829021283,22,
2025-02-27 05:58:34.241,6436097,15798840,27,
2025-02-27 05:58:34.376,6436228,829021284,31,
2025-02-27 05:58:34.421,6436098,15798498,45,
2025-02-27 05:58:34.447,6436096,828959225,41,
2025-02-27 05:58:34.545,6436098,16170712,31,
2025-02-27 05:58:34.624,6436096,15943131,27,
2025-02-27 05:58:34.624,6436136,15943131,255,
2025-02-27 05:58:34.763,6436098,829021096,14,
2025-02-27 05:58:34.896,6436098,16170726,43,
2025-02-27 05:58:34.984,6436097,15943144,20,
2025-02-27 05:58:35.039,6436098,16170416,39,
2025-02-27 05:58:35.092,6436098,15888597,16,
