Datetime,Serving_Cell_Id, Call_Id, uePhr,dlWidebandCqiCode0,dlWidebandCqiCode1,ulDmrsSinr,taValue,preambleTaValue,ulSrsSinr
2025-02-27 05:47:27.122,6436096,15942286,30,11,6,1695,16,36,2147483647,
2025-02-27 05:47:27.128,6436238,15887894,29,9,255,1338,64,84,1092,
2025-02-27 05:47:27.146,6436097,16169943,35,10,12,2237,0,12,2147483647,
2025-02-27 05:47:27.151,6436098,15942329,40,13,11,2422,48,72,2147483647,
2025-02-27 05:47:27.152,6436138,15942329,255,13,13,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:47:27.162,6436238,15942329,255,11,11,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:47:27.191,6436096,16292428,7,6,5,3032,64,72,2147483647,
2025-02-27 05:47:27.193,6436238,16292428,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:47:27.204,6436096,15940019,21,11,5,939,0,24,2147483647,
2025-02-27 05:47:27.236,6436138,16169936,255,8,5,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:47:27.236,6436098,16169936,37,8,9,2407,0,12,2147483647,
2025-02-27 05:47:27.287,6436096,829020217,21,7,7,1160,48,96,2147483647,
2025-02-27 05:47:27.288,6436096,15818787,33,13,7,2633,16,48,2147483647,
2025-02-27 05:47:27.289,6436096,15797938,28,11,8,2129,32,60,2147483647,
2025-02-27 05:47:27.324,6436238,829020217,255,3,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:47:27.327,6436238,15797938,255,11,11,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:47:27.331,6436238,16169725,30,4,4,932,48,48,760,
2025-02-27 05:47:27.340,6436097,16168453,34,11,8,1720,0,24,2147483647,
2025-02-27 05:47:27.390,6436098,15942398,14,12,255,1503,64,84,2147483647,
2025-02-27 05:47:27.408,6436098,16292429,8,12,255,1867,64,72,2147483647,
2025-02-27 05:47:27.409,6436098,15942388,46,14,255,2030,64,72,2147483647,
2025-02-27 05:47:27.423,6436238,15942388,255,2,9,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:47:27.431,6436097,16292416,35,13,10,1927,16,24,2147483647,
2025-02-27 05:47:27.538,6436138,15942316,255,6,5,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:47:27.538,6436098,15942316,36,11,8,2369,0,0,2147483647,
