Datetime,Serving_Cell_Id, Call_Id, measurementId,rsrpRslt,rsrqRslt,nCellCount,pci_1,rsrp_1,rsrq_1,pci_2,rsrp_2,rsrq_2,pci_3,rsrp_3,rsrq_3,pci_4,rsrp_4,rsrq_4,pci_5,rsrp_5,rsrq_5,pci_6,rsrp_6,rsrq_6,pci_7,rsrp_7,rsrq_7,pci_8,rsrpv,rsrq_8
2025-02-27 05:36:29.755,6436096,15886969,8,56,13,3,11,54,9,389,49,1,117,48,0,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.775,6436098,15941414,14,50,12,2,387,49,5,11,44,0,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.815,6436238,15885154,15,54,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.885,6436098,15886403,8,50,19,1,387,42,3,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.515,6436097,828962127,23,38,16,1,52,32,2,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.555,6436097,16291572,8,37,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.575,6436097,16289530,9,56,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.595,6436098,16169107,9,47,20,2,388,45,12,387,41,3,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.635,6436098,16166663,10,67,18,1,387,63,4,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.635,6436097,16291564,8,62,22,1,387,57,10,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.635,6436097,16169095,8,51,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.695,6436098,829019740,14,80,17,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.715,6436097,16169016,9,35,24,1,226,29,10,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.755,6436097,16169070,8,60,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.895,6436096,15941510,8,44,13,1,389,41,5,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.915,6436097,829019828,17,41,17,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.965,6436098,15797199,8,64,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.025,6436097,15797231,9,41,17,2,9,38,10,387,34,2,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.025,6436238,15797027,10,45,28,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.065,6436098,828964815,8,54,9,2,387,50,9,11,47,3,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.095,6436238,15886417,10,54,26,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.135,6436098,15884458,9,64,18,1,387,63,13,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.175,6436097,15887013,9,55,18,2,338,49,10,226,47,7,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.215,6436238,15074519,10,59,26,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.235,6436238,15886966,8,69,25,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.235,6436238,828964258,2,36,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.275,6436098,15941484,11,58,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.275,6436096,15794626,9,63,16,1,389,60,12,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.295,6436097,15886505,10,69,24,2,387,50,0,9,49,0,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.455,6436238,15887015,9,40,25,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.455,6436098,829019824,9,54,14,2,338,50,10,226,48,8,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.495,6436098,15887016,8,49,6,2,387,44,7,388,43,1,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.225,6436096,829019519,6,41,13,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.225,6436238,16228853,10,51,25,1,108,34,0,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.245,6436097,16291558,8,61,23,1,387,59,14,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.405,6436097,16169096,8,57,26,1,46,44,3,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.505,6436238,16168879,8,49,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.605,6436238,828962054,3,57,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.625,6436097,16291573,9,35,18,1,9,27,7,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.735,6436098,16290933,11,59,16,1,388,56,14,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.765,6436097,829019646,16,39,17,2,226,39,15,394,34,7,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.825,6436238,16289896,11,43,26,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.575,6436097,15796882,9,38,23,1,226,31,10,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.595,6436096,15941511,8,57,16,1,389,50,6,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.595,6436098,15797005,8,41,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.615,6436097,15941522,8,34,16,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.795,6436097,15797243,9,58,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.855,6436097,15797236,8,59,18,1,183,52,5,,,,,,,,,,,,,,,,,,,,,,
