Datetime,Serving_Cell_Id, Call_Id, measurementId,rsrpRslt,rsrqRslt,nCellCount,pci_1,rsrp_1,rsrq_1,pci_2,rsrp_2,rsrq_2,pci_3,rsrp_3,rsrq_3,pci_4,rsrp_4,rsrq_4,pci_5,rsrp_5,rsrq_5,pci_6,rsrp_6,rsrq_6,pci_7,rsrp_7,rsrq_7,pci_8,rsrpv,rsrq_8
2025-02-27 05:30:55.835,6436098,15886565,8,48,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.245,6436238,16291039,8,62,26,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.345,6436178,828964318,17,37,15,3,384,34,8,78,32,4,79,31,3,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.345,6436098,16291055,8,59,13,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.375,6436238,16290665,8,34,19,1,300,23,13,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.495,6436097,16168581,11,48,17,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.535,6436097,16168564,9,46,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.555,6436096,16168441,9,55,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.555,6436098,16290854,9,53,19,1,388,47,8,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.555,6436097,828964642,19,47,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.725,6436096,16291056,10,53,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.755,6436096,828964610,16,42,14,2,10,43,16,389,32,0,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.775,6436096,16168580,9,36,16,1,10,34,14,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.795,6436238,16291046,8,65,25,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.865,6436097,16290864,10,43,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.865,6436096,16166533,8,34,23,1,10,27,7,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.855,6436238,15886551,8,40,24,1,155,28,0,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.855,6436098,15941011,8,35,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.855,6436096,15796735,10,55,19,2,389,50,9,11,48,8,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.895,6436097,15886199,9,40,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.895,6436097,15886458,8,54,16,1,387,52,11,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.935,6436096,828963504,15,41,13,1,11,40,11,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.965,6436097,15796746,9,57,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.025,6436096,15940981,8,61,19,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.045,6436097,15796757,10,58,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.095,6436097,15940817,8,60,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.095,6436097,15941009,9,51,25,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.905,6436097,828964215,15,58,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.905,6436097,16291030,8,47,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.955,6436178,16168582,10,39,14,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.985,6436097,828964611,18,38,16,1,226,33,5,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.075,6436098,16291008,13,38,17,2,338,33,8,242,32,6,,,,,,,,,,,,,,,,,,,
