Datetime,Serving_Cell_Id, Call_Id, ta
2025-02-27 05:36:29.436,6436097,16291571,32,
2025-02-27 05:36:29.462,6436098,829019770,48,
2025-02-27 05:36:29.479,6436097,16169095,0,
2025-02-27 05:36:29.492,6436098,828960199,0,
2025-02-27 05:36:29.496,6436096,15886899,32,
2025-02-27 05:36:29.519,6436238,829019658,16,
2025-02-27 05:36:29.540,6436098,16167169,0,
2025-02-27 05:36:29.552,6436097,16291564,0,
2025-02-27 05:36:29.581,6436096,829019789,0,
2025-02-27 05:36:29.580,6436238,15941520,48,
2025-02-27 05:36:29.590,6436238,15797229,16,
2025-02-27 05:36:29.600,6436098,15797242,16,
2025-02-27 05:36:29.606,6436097,15887013,32,
2025-02-27 05:36:29.625,6436097,15940562,0,
2025-02-27 05:36:29.657,6436096,15886969,32,
2025-02-27 05:36:29.659,6436098,15941521,48,
2025-02-27 05:36:29.659,6436097,16291572,96,
2025-02-27 05:36:29.695,6436098,16169107,0,
2025-02-27 05:36:29.702,6436097,16169070,16,
2025-02-27 05:36:29.722,6436226,829019829,64,
2025-02-27 05:36:29.716,6436097,15797235,32,
2025-02-27 05:36:29.828,6436098,828964658,32,
2025-02-27 05:36:29.901,6436098,15797199,32,
2025-02-27 05:36:29.905,6436096,16291412,0,
2025-02-27 05:36:29.956,6436098,15884458,16,
2025-02-27 05:36:29.966,6436098,15797205,96,
2025-02-27 05:36:29.971,6436098,15872833,2048,
2025-02-27 05:36:29.976,6436096,16222942,0,
2025-02-27 05:36:29.984,6436097,15886887,16,
2025-02-27 05:36:29.988,6436238,15797027,16,
2025-02-27 05:36:30.018,6436097,16291558,0,
2025-02-27 05:36:30.073,6436097,15886799,16,
2025-02-27 05:36:30.069,6436238,15886417,16,
2025-02-27 05:36:30.112,6436238,828964258,48,
2025-02-27 05:36:30.168,6436238,16228853,32,
2025-02-27 05:36:30.180,6436097,15941452,64,
2025-02-27 05:36:30.179,6436238,15074519,16,
2025-02-27 05:36:30.244,6436097,16289530,0,
2025-02-27 05:36:30.307,6436238,16168879,0,
2025-02-27 05:36:30.325,6436096,15941511,48,
2025-02-27 05:36:30.319,6436238,15887015,0,
2025-02-27 05:36:30.350,6436096,16291459,16,
2025-02-27 05:36:30.361,6436097,16169096,0,
2025-02-27 05:36:30.416,6436098,15941095,0,
2025-02-27 05:36:30.469,6436098,16169107,0,
2025-02-27 05:36:30.512,6436238,828962054,32,
2025-02-27 05:36:30.549,6436098,16291565,48,
2025-02-27 05:36:30.712,6436096,15886677,32,
2025-02-27 05:36:30.726,6436097,15941522,80,
2025-02-27 05:36:30.754,6436238,16289896,0,
2025-02-27 05:36:30.764,6436097,15941475,32,
2025-02-27 05:36:30.786,6436097,15797236,0,
2025-02-27 05:36:30.793,6436097,16291573,16,
2025-02-27 05:36:30.862,6436098,15941489,32,
2025-02-27 05:36:30.950,6436097,15940648,0,
2025-02-27 05:36:30.957,6436097,15797243,48,
2025-02-27 05:36:30.968,6436097,15887006,16,
2025-02-27 05:36:30.975,6436097,16169057,0,
2025-02-27 05:36:31.108,6436238,15941481,48,
2025-02-27 05:36:31.143,6436097,15797014,16,
2025-02-27 05:36:31.140,6436238,15941523,48,
2025-02-27 05:36:31.160,6436097,16169108,0,
2025-02-27 05:36:31.162,6436098,829019822,32,
2025-02-27 05:36:31.199,6436096,16169087,16,
2025-02-27 05:36:31.213,6436098,15729487,48,
2025-02-27 05:36:31.228,6436096,16169097,0,
2025-02-27 05:36:31.308,6436098,15887017,48,
2025-02-27 05:36:31.306,6436238,829019643,16,
2025-02-27 05:36:31.420,6436096,15941513,0,
2025-02-27 05:36:31.458,6436098,829019824,32,
2025-02-27 05:36:31.528,6436238,15886646,48,
2025-02-27 05:36:31.602,6436096,15887018,16,
2025-02-27 05:36:31.624,6436098,15797237,48,
2025-02-27 05:36:31.686,6436098,15886479,64,
2025-02-27 05:36:31.690,6436238,15887019,16,
2025-02-27 05:36:31.695,6436238,16169099,32,
2025-02-27 05:36:31.705,6436238,15794397,64,
2025-02-27 05:36:31.733,6436238,15941465,16,
2025-02-27 05:36:31.755,6436097,15941505,0,
2025-02-27 05:36:31.763,6436098,15941508,32,
2025-02-27 05:36:31.827,6436096,15940019,0,
2025-02-27 05:36:31.898,6436096,829019830,48,
2025-02-27 05:36:31.911,6436096,15818787,16,
2025-02-27 05:36:31.928,6436098,16169100,32,
2025-02-27 05:36:31.951,6436096,15941419,48,
2025-02-27 05:36:31.964,6436097,16168453,0,
2025-02-27 05:36:31.970,6436238,15887008,16,
2025-02-27 05:36:32.037,6436097,829019605,0,
2025-02-27 05:36:32.038,6436098,16291554,48,
2025-02-27 05:36:32.038,6436238,828955565,64,
2025-02-27 05:36:32.134,6436097,15941524,16,
2025-02-27 05:36:32.143,6436097,828964548,32,
2025-02-27 05:36:32.168,6436238,15941525,16,
2025-02-27 05:36:32.199,6436097,16169101,144,
2025-02-27 05:36:32.199,6436096,828964299,32,
2025-02-27 05:36:32.229,6436098,16291574,64,
2025-02-27 05:36:32.235,6436098,16288084,16,
2025-02-27 05:36:32.244,6436098,16289962,32,
2025-02-27 05:36:32.274,6436096,16166533,32,
2025-02-27 05:36:32.276,6436096,828963922,48,
2025-02-27 05:36:32.273,6436238,16169090,16,
2025-02-27 05:36:32.301,6436096,15887020,48,
2025-02-27 05:36:32.343,6436097,828964624,0,
2025-02-27 05:36:32.348,6436098,829019583,32,
2025-02-27 05:36:32.348,6436096,15941514,0,
2025-02-27 05:36:32.353,6436097,828964411,64,
2025-02-27 05:36:32.360,6436098,16291567,48,
2025-02-27 05:36:32.355,6436238,15887021,16,
2025-02-27 05:36:32.373,6436098,15941349,48,
2025-02-27 05:36:32.390,6436096,829019831,32,
2025-02-27 05:36:32.407,6436098,15797244,48,
2025-02-27 05:36:32.436,6436098,829019597,64,
2025-02-27 05:36:32.479,6436098,15941517,16,
2025-02-27 05:36:32.495,6436097,15941526,16,
2025-02-27 05:36:32.531,6436098,15887009,16,
2025-02-27 05:36:32.532,6436097,15797238,16,
2025-02-27 05:36:32.538,6436097,15797156,0,
2025-02-27 05:36:32.571,6436238,15886966,32,
2025-02-27 05:36:32.712,6436097,16169016,112,
2025-02-27 05:36:32.717,6436098,16291568,64,
2025-02-27 05:36:32.736,6436096,15797245,16,
2025-02-27 05:36:32.774,6436097,15887010,0,
2025-02-27 05:36:32.809,6436097,16291575,16,
2025-02-27 05:36:32.827,6436097,828964611,48,
2025-02-27 05:36:32.838,6436096,16169079,0,
2025-02-27 05:36:32.859,6436097,16291173,0,
2025-02-27 05:36:32.894,6436097,15887022,0,
2025-02-27 05:36:32.910,6436096,828964574,64,
2025-02-27 05:36:32.950,6436096,15797239,0,
2025-02-27 05:36:32.969,6436098,829019725,64,
2025-02-27 05:36:32.984,6436238,15797071,0,
2025-02-27 05:36:32.994,6436098,16290933,0,
2025-02-27 05:36:32.988,6436238,15796595,48,
2025-02-27 05:36:32.997,6436238,16291206,0,
2025-02-27 05:36:33.010,6436096,829019833,32,
2025-02-27 05:36:33.014,6436097,829019783,16,
2025-02-27 05:36:33.054,6436098,15884461,16,
2025-02-27 05:36:33.101,6436096,15797246,32,
2025-02-27 05:36:33.198,6436098,15941484,48,
2025-02-27 05:36:33.218,6436096,15886967,32,
2025-02-27 05:36:33.221,6436098,15941516,64,
2025-02-27 05:36:33.236,6436097,16169110,96,
2025-02-27 05:36:33.246,6436096,828963969,64,
2025-02-27 05:36:33.249,6436098,15797005,0,
2025-02-27 05:36:33.274,6436098,829019789,16,
2025-02-27 05:36:33.283,6436096,16169097,32,
2025-02-27 05:36:33.284,6436098,15941502,32,
2025-02-27 05:36:33.287,6436097,16169111,0,
2025-02-27 05:36:33.330,6436097,829019646,48,
2025-02-27 05:36:33.325,6436238,16169112,32,
2025-02-27 05:36:33.343,6436096,16291576,16,
2025-02-27 05:36:33.400,6436096,16169105,16,
2025-02-27 05:36:33.406,6436098,15797240,0,
2025-02-27 05:36:33.426,6436097,15887013,32,
2025-02-27 05:36:33.460,6436098,829019835,64,
2025-02-27 05:36:33.571,6436136,15887020,112,
2025-02-27 05:36:33.585,6436098,15940963,32,
2025-02-27 05:36:33.615,6436098,16290361,0,
2025-02-27 05:36:33.624,6436097,16169102,48,
2025-02-27 05:36:33.653,6436098,829019810,48,
2025-02-27 05:36:33.651,6436238,829019825,16,
2025-02-27 05:36:33.686,6436096,15887003,0,
2025-02-27 05:36:33.700,6436098,15941515,16,
2025-02-27 05:36:33.701,6436098,15886738,32,
2025-02-27 05:36:33.710,6436226,829019811,32,
2025-02-27 05:36:33.723,6436098,829019706,48,
2025-02-27 05:36:33.736,6436096,15886005,32,
