Datetime,Serving_Cell_Id, Call_Id, uePhr,dlWidebandCqiCode0,dlWidebandCqiCode1,ulDmrsSinr,taValue,preambleTaValue,ulSrsSinr
2025-02-27 05:30:56.301,6436178,15729487,33,11,255,2358,48,96,2147483647,
2025-02-27 05:30:56.324,6436097,15886535,33,6,9,1697,0,0,2147483647,
2025-02-27 05:30:56.354,6436097,15886553,36,10,8,1663,0,0,2147483647,
2025-02-27 05:30:56.393,6436096,15941000,31,10,255,1264,32,60,2147483647,
2025-02-27 05:30:56.426,6436098,15886429,2,8,8,2041,0,60,2147483647,
2025-02-27 05:30:56.437,6436178,16168570,255,11,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.437,6436098,16168570,28,11,255,2082,16,48,2147483647,
2025-02-27 05:30:56.437,6436238,15886429,255,9,9,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.447,6436098,16291048,12,10,255,915,64,72,2147483647,
2025-02-27 05:30:56.457,6436097,15886505,49,13,7,2045,16,24,2147483647,
2025-02-27 05:30:56.457,6436137,15886505,255,12,15,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.483,6436238,15886554,29,6,6,1718,0,36,-255,
2025-02-27 05:30:56.583,6436238,15796759,35,15,255,2573,64,84,2423,
2025-02-27 05:30:56.616,6436096,15796744,38,11,10,2102,64,48,2147483647,
2025-02-27 05:30:56.643,6436097,15940562,28,9,8,1011,0,0,2147483647,
2025-02-27 05:30:56.678,6436098,16168573,40,9,10,2393,48,72,2147483647,
2025-02-27 05:30:56.689,6436098,15796750,9,9,9,414,80,96,2147483647,
2025-02-27 05:30:56.685,6436238,15796750,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.693,6436238,15940562,255,4,0,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.700,6436238,16291023,28,15,15,1445,0,36,1497,
2025-02-27 05:30:56.709,6436137,15940986,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.709,6436097,15940986,29,9,255,1207,64,84,2147483647,
2025-02-27 05:30:56.739,6436097,16291059,7,12,255,560,16,24,2147483647,
2025-02-27 05:30:56.744,6436178,828960199,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.744,6436097,828960199,31,12,255,1948,0,24,2147483647,
2025-02-27 05:30:56.744,6436238,828962054,31,15,15,2713,32,60,1809,
2025-02-27 05:30:56.745,6436238,828960199,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.778,6436096,15796735,35,8,8,2185,16,36,2147483647,
2025-02-27 05:30:56.778,6436178,15796735,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.775,6436238,15796735,255,255,255,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.798,6436097,15796700,28,11,11,1728,0,48,2147483647,
2025-02-27 05:30:56.848,6436178,828964593,15,5,2,981,48,84,2147483647,
2025-02-27 05:30:56.889,6436096,16168441,29,9,8,1670,16,36,2147483647,
2025-02-27 05:30:56.901,6436238,16168441,255,8,8,2147483647,4294967295,2147483647,2147483647,
2025-02-27 05:30:56.911,6436097,15940648,21,9,9,2418,16,36,2147483647,
2025-02-27 05:30:56.911,6436238,828964237,30,13,13,1786,16,36,1597,
2025-02-27 05:30:56.917,6436238,15796729,39,15,15,2774,0,12,2050,
2025-02-27 05:30:56.926,6436097,15886567,35,10,255,2237,0,0,2147483647,
2025-02-27 05:30:56.949,6436238,15940648,255,6,6,2147483647,4294967295,2147483647,2147483647,
