Datetime,Serving_Cell_Id, Call_Id, ulMcs,dlMcs
2025-02-27 05:36:29.459,6436238,15940897,26,26,
2025-02-27 05:36:29.556,6436137,828964612,16,28,
2025-02-27 05:36:29.621,6436097,15797226,19,13,
2025-02-27 05:36:29.664,6436098,15941414,16,10,
2025-02-27 05:36:29.751,6436238,15885154,27,27,
2025-02-27 05:36:29.769,6436098,15886403,26,15,
2025-02-27 05:36:29.835,6436096,15941510,17,6,
2025-02-27 05:36:30.399,6436238,829019619,23,17,
2025-02-27 05:36:30.622,6436098,16291532,14,18,
2025-02-27 05:36:30.620,6436238,16291532,4294967295,4294967295,
2025-02-27 05:36:30.825,6436238,15886998,16,21,
2025-02-27 05:36:30.912,6436098,15796747,26,15,
2025-02-27 05:36:30.907,6436238,16102365,22,16,
2025-02-27 05:36:30.924,6436096,829019821,23,3,
2025-02-27 05:36:30.980,6436096,15886992,21,8,
2025-02-27 05:36:31.225,6436137,16291559,16,15,
2025-02-27 05:36:31.266,6436238,828963725,22,16,
2025-02-27 05:36:31.319,6436096,15887007,17,9,
2025-02-27 05:36:31.453,6436096,829019813,22,5,
2025-02-27 05:36:31.609,6436097,16291244,14,14,
2025-02-27 05:36:31.610,6436098,16291566,25,17,
2025-02-27 05:36:31.760,6436096,829019823,19,4,
2025-02-27 05:36:31.899,6436097,16169058,26,23,
2025-02-27 05:36:32.441,6436098,16169091,22,19,
2025-02-27 05:36:32.867,6436226,16169103,26,11,
2025-02-27 05:36:32.871,6436098,15941507,26,14,
2025-02-27 05:36:33.036,6436098,16291547,18,8,
2025-02-27 05:36:33.149,6436098,16169074,10,18,
2025-02-27 05:36:33.185,6436098,16168748,3,14,
2025-02-27 05:36:33.185,6436238,16169104,26,19,
2025-02-27 05:36:33.257,6436238,15886921,27,26,
2025-02-27 05:36:33.396,6436238,15796989,26,14,
2025-02-27 05:36:33.556,6436098,16291569,25,15,
2025-02-27 05:36:33.550,6436238,16291569,4294967295,4294967295,
2025-02-27 05:36:33.606,6436226,829019787,21,15,
2025-02-27 05:36:33.625,6436097,15887011,21,20,
2025-02-27 05:36:33.677,6436096,829019818,26,4,
2025-02-27 05:36:33.696,6436226,829019799,10,19,
2025-02-27 05:36:33.711,6436098,828964598,20,3,
2025-02-27 05:36:33.772,6436097,828964380,25,19,
2025-02-27 05:36:33.816,6436098,16291570,16,17,
2025-02-27 05:36:33.827,6436098,16168693,26,11,
2025-02-27 05:36:33.842,6436096,15797241,25,10,
2025-02-27 05:36:34.236,6436097,15941519,3,21,
2025-02-27 05:36:34.385,6436097,828962127,19,10,
2025-02-27 05:36:34.487,6436096,828959225,21,5,
2025-02-27 05:36:34.580,6436238,15940897,26,26,
2025-02-27 05:36:34.676,6436137,828964612,17,26,
2025-02-27 05:36:34.784,6436098,15941414,15,7,
2025-02-27 05:36:34.872,6436238,15885154,27,27,
2025-02-27 05:36:34.889,6436098,15886403,26,15,
2025-02-27 05:36:35.520,6436238,829019619,22,15,
2025-02-27 05:36:35.572,6436098,15887016,25,4,
2025-02-27 05:36:35.946,6436238,15886998,13,14,
2025-02-27 05:36:36.032,6436098,15796747,26,14,
2025-02-27 05:36:36.028,6436238,16102365,22,18,
2025-02-27 05:36:36.100,6436096,15886992,21,9,
2025-02-27 05:36:36.345,6436137,16291559,12,16,
2025-02-27 05:36:36.387,6436238,828963725,22,16,
2025-02-27 05:36:36.573,6436096,829019813,25,8,
2025-02-27 05:36:36.729,6436097,16291244,17,15,
2025-02-27 05:36:37.019,6436097,16169058,26,22,
2025-02-27 05:36:37.481,6436138,829019832,24,5,
2025-02-27 05:36:37.795,6436098,16169109,25,15,
2025-02-27 05:36:37.931,6436097,15941527,20,13,
2025-02-27 05:36:38.116,6436098,829019834,22,12,
2025-02-27 05:36:38.156,6436098,16291547,17,9,
2025-02-27 05:36:38.305,6436098,16168748,3,12,
2025-02-27 05:36:38.378,6436238,15886921,27,26,
2025-02-27 05:36:38.430,6436238,829019821,24,4,
2025-02-27 05:36:38.517,6436238,15796989,26,15,
2025-02-27 05:36:38.590,6436238,829019823,24,1,
2025-02-27 05:36:38.624,6436238,15797247,21,5,
2025-02-27 05:36:38.727,6436226,829019787,21,11,
2025-02-27 05:36:38.797,6436096,829019818,26,5,
2025-02-27 05:36:38.817,6436226,829019799,9,10,
2025-02-27 05:36:38.831,6436098,828964598,20,7,
2025-02-27 05:36:38.892,6436097,828964380,26,21,
2025-02-27 05:36:38.936,6436098,16291570,13,24,
2025-02-27 05:36:38.947,6436098,16168693,26,13,
2025-02-27 05:36:39.356,6436097,15941519,10,23,
2025-02-27 05:36:39.505,6436097,828962127,20,8,
2025-02-27 05:36:39.607,6436096,828959225,21,5,
2025-02-27 05:36:39.701,6436238,15940897,26,27,
2025-02-27 05:36:39.796,6436137,828964612,18,25,
2025-02-27 05:36:39.904,6436098,15941414,13,8,
2025-02-27 05:36:39.921,6436098,15887024,7,11,
2025-02-27 05:36:39.993,6436238,15885154,27,26,
2025-02-27 05:36:40.009,6436098,15886403,26,15,
2025-02-27 05:36:40.078,6436096,15941530,19,1,
2025-02-27 05:36:40.078,6436096,16291578,19,1,
2025-02-27 05:36:40.097,6436096,16169114,23,4,
2025-02-27 05:36:40.158,6436096,829019837,25,12,
2025-02-27 05:36:40.152,6436238,829019837,4294967295,4294967295,
2025-02-27 05:36:40.165,6436226,829019837,4294967295,4294967295,
2025-02-27 05:36:40.341,6436097,829019838,20,3,
2025-02-27 05:36:40.641,6436238,829019619,22,19,
2025-02-27 05:36:40.692,6436098,15887016,26,15,
2025-02-27 05:36:41.152,6436098,15796747,26,14,
2025-02-27 05:36:41.149,6436238,16102365,21,18,
2025-02-27 05:36:41.220,6436096,15886992,21,11,
2025-02-27 05:36:41.465,6436137,16291559,17,15,
2025-02-27 05:36:41.508,6436238,828963725,22,16,
2025-02-27 05:36:41.849,6436097,16291244,20,13,
2025-02-27 05:36:42.139,6436097,16169058,25,22,
2025-02-27 05:36:42.915,6436098,16169109,24,18,
2025-02-27 05:36:42.962,6436098,15887026,15,15,
2025-02-27 05:36:42.986,6436097,16291582,21,20,
2025-02-27 05:36:43.051,6436097,15941527,21,19,
2025-02-27 05:36:43.276,6436098,16291547,17,10,
2025-02-27 05:36:43.301,6436098,15887027,17,20,
2025-02-27 05:36:43.425,6436098,16168748,4,9,
2025-02-27 05:36:43.499,6436238,15886921,27,25,
2025-02-27 05:36:43.531,6436098,15941533,21,8,
2025-02-27 05:36:43.551,6436238,829019821,24,9,
2025-02-27 05:36:43.610,6436226,15887028,26,8,
2025-02-27 05:36:43.638,6436238,15796989,26,14,
2025-02-27 05:36:43.848,6436226,829019787,21,9,
2025-02-27 05:36:43.917,6436096,829019818,26,2,
2025-02-27 05:36:43.938,6436226,829019799,9,15,
2025-02-27 05:36:43.951,6436098,828964598,21,6,
2025-02-27 05:36:44.012,6436097,828964380,26,18,
2025-02-27 05:36:44.067,6436098,16168693,26,12,
2025-02-27 05:36:44.360,6436096,15887030,20,5,
2025-02-27 05:36:44.456,6436097,15797255,25,7,
2025-02-27 05:36:44.476,6436097,15941519,10,25,
2025-02-27 05:36:44.625,6436097,828962127,19,8,
2025-02-27 05:36:44.727,6436096,828959225,21,5,
2025-02-27 05:36:44.822,6436238,15940897,27,27,
2025-02-27 05:36:44.916,6436137,828964612,17,25,
2025-02-27 05:36:45.024,6436098,15941414,17,12,
2025-02-27 05:36:45.041,6436098,15887024,6,21,
2025-02-27 05:36:45.114,6436238,15885154,27,27,
2025-02-27 05:36:45.129,6436098,15886403,26,14,
2025-02-27 05:36:45.198,6436096,15941530,21,0,
2025-02-27 05:36:45.278,6436096,829019837,26,18,
2025-02-27 05:36:45.273,6436238,829019837,4294967295,4294967295,
2025-02-27 05:36:45.286,6436226,829019837,4294967295,4294967295,
2025-02-27 05:36:45.362,6436096,16169119,25,9,
2025-02-27 05:36:45.461,6436097,829019838,22,6,
2025-02-27 05:36:45.762,6436238,829019619,23,18,
2025-02-27 05:36:46.272,6436098,15796747,26,16,
2025-02-27 05:36:46.270,6436238,16102365,21,19,
2025-02-27 05:36:46.340,6436096,15886992,21,11,
2025-02-27 05:36:46.585,6436137,16291559,12,16,
2025-02-27 05:36:46.580,6436238,15797259,22,10,
2025-02-27 05:36:46.629,6436238,828963725,22,16,
2025-02-27 05:36:46.969,6436097,16291244,21,12,
2025-02-27 05:36:47.258,6436098,16291584,15,20,
2025-02-27 05:36:47.242,6436238,16291584,4294967295,2,
2025-02-27 05:36:47.259,6436097,16169058,26,26,
2025-02-27 05:36:48.050,6436097,16169124,14,16,
2025-02-27 05:36:48.171,6436097,15941527,21,19,
2025-02-27 05:36:48.253,6436098,829019844,24,17,
2025-02-27 05:36:48.257,6436098,829019843,11,6,
2025-02-27 05:36:48.396,6436098,16291547,17,10,
2025-02-27 05:36:48.413,6436098,829019845,18,4,
2025-02-27 05:36:48.421,6436098,15887027,19,20,
2025-02-27 05:36:48.545,6436098,16168748,3,7,
2025-02-27 05:36:48.610,6436238,15886921,27,26,
2025-02-27 05:36:48.651,6436098,15941533,22,9,
2025-02-27 05:36:48.662,6436238,829019821,21,13,
2025-02-27 05:36:48.749,6436238,15796989,27,24,
2025-02-27 05:36:48.968,6436226,829019787,21,3,
2025-02-27 05:36:49.037,6436096,829019818,26,6,
2025-02-27 05:36:49.058,6436226,829019799,9,14,
2025-02-27 05:36:49.071,6436098,828964598,21,4,
2025-02-27 05:36:49.132,6436097,828964380,26,13,
2025-02-27 05:36:49.124,6436238,16169126,26,16,
2025-02-27 05:36:49.187,6436098,16168693,26,5,
2025-02-27 05:36:49.468,6436096,16169127,23,15,
2025-02-27 05:36:49.475,6436226,16169127,4294967295,4294967295,
2025-02-27 05:36:49.596,6436097,15941519,10,25,
2025-02-27 05:36:49.745,6436097,828962127,18,11,
2025-02-27 05:36:49.811,6436098,15941539,14,4,
2025-02-27 05:36:49.847,6436096,828959225,21,6,
2025-02-27 05:36:49.933,6436238,15940897,26,27,
2025-02-27 05:36:50.036,6436137,828964612,18,25,
2025-02-27 05:36:50.144,6436098,15941414,14,6,
2025-02-27 05:36:50.225,6436238,15885154,27,26,
2025-02-27 05:36:50.249,6436098,15886403,26,14,
2025-02-27 05:36:50.318,6436096,15941530,23,0,
2025-02-27 05:36:50.482,6436096,16169119,26,18,
2025-02-27 05:36:50.873,6436238,829019619,23,12,
2025-02-27 05:36:51.049,6436136,15941540,17,5,
2025-02-27 05:36:51.194,6436096,16291591,22,7,
2025-02-27 05:36:51.339,6436098,16291587,23,8,
2025-02-27 05:36:51.392,6436098,15796747,26,19,
2025-02-27 05:36:51.381,6436238,16102365,21,19,
2025-02-27 05:36:51.460,6436096,15886992,21,14,
2025-02-27 05:36:51.705,6436137,16291559,9,16,
2025-02-27 05:36:51.740,6436238,828963725,23,16,
