Datetime,Serving_Cell_Id, Call_Id, ulMcs,dlMcs
2025-02-27 05:58:28.422,6436098,15943133,26,15,
2025-02-27 05:58:28.478,6436097,16170705,20,19,
2025-02-27 05:58:28.714,6436098,15943143,22,13,
2025-02-27 05:58:29.301,6436098,15798498,22,21,
2025-02-27 05:58:29.326,6436096,828959225,21,8,
2025-02-27 05:58:29.425,6436098,16170712,26,8,
2025-02-27 05:58:29.503,6436096,15943131,20,5,
2025-02-27 05:58:29.503,6436136,15943131,4294967295,4294967295,
2025-02-27 05:58:29.643,6436098,829021096,16,5,
2025-02-27 05:58:29.736,6436096,829021273,19,4,
2025-02-27 05:58:29.856,6436098,16292742,26,27,
2025-02-27 05:58:29.864,6436097,15943144,13,21,
2025-02-27 05:58:29.918,6436098,16170416,26,14,
2025-02-27 05:58:29.972,6436098,15888597,17,15,
2025-02-27 05:58:30.170,6436098,16293255,4,5,
2025-02-27 05:58:30.295,6436238,829021275,19,12,
2025-02-27 05:58:30.362,6436238,829021276,20,11,
2025-02-27 05:58:30.442,6436098,15888642,26,21,
2025-02-27 05:58:30.493,6436097,16293248,26,13,
2025-02-27 05:58:30.684,6436097,15798808,26,17,
2025-02-27 05:58:30.833,6436097,16170593,25,14,
2025-02-27 05:58:30.887,6436098,16170713,25,18,
2025-02-27 05:58:30.983,6436098,15943140,26,21,
2025-02-27 05:58:31.130,6436098,15943097,26,18,
2025-02-27 05:58:31.217,6436098,829021264,23,15,
2025-02-27 05:58:31.361,6436096,829021122,16,6,
2025-02-27 05:58:31.404,6436178,829021280,24,20,
2025-02-27 05:58:31.511,6436098,15888692,16,19,
2025-02-27 05:58:31.550,6436097,16293208,13,20,
2025-02-27 05:58:31.759,6436098,15888685,26,18,
2025-02-27 05:58:31.869,6436096,16293243,26,6,
2025-02-27 05:58:32.121,6436137,16293089,4294967295,4294967295,
2025-02-27 05:58:32.121,6436097,16293089,26,14,
2025-02-27 05:58:32.269,6436098,829021179,5,8,
2025-02-27 05:58:32.282,6436098,15798725,3,20,
2025-02-27 05:58:32.419,6436097,16293053,21,19,
2025-02-27 05:58:32.440,6436098,16102365,22,21,
2025-02-27 05:58:32.531,6436238,829021281,20,8,
2025-02-27 05:58:33.105,6436098,15943132,25,10,
2025-02-27 05:58:33.362,6436097,829021228,4,14,
2025-02-27 05:58:34.064,6436228,829021282,20,10,
2025-02-27 05:58:34.221,6436228,829021283,21,7,
2025-02-27 05:58:34.375,6436228,829021284,24,7,
2025-02-27 05:58:34.421,6436098,15798498,22,20,
2025-02-27 05:58:34.446,6436096,828959225,21,7,
2025-02-27 05:58:34.545,6436098,16170712,26,4,
2025-02-27 05:58:34.623,6436096,15943131,14,5,
2025-02-27 05:58:34.623,6436136,15943131,4294967295,4294967295,
2025-02-27 05:58:34.763,6436098,829021096,16,6,
2025-02-27 05:58:34.984,6436097,15943144,12,24,
2025-02-27 05:58:35.038,6436098,16170416,26,15,
2025-02-27 05:58:35.092,6436098,15888597,22,16,
2025-02-27 05:58:35.416,6436238,829021275,22,10,
2025-02-27 05:58:35.483,6436238,829021276,22,13,
2025-02-27 05:58:35.562,6436098,15888642,26,17,
2025-02-27 05:58:35.613,6436097,16293248,26,14,
2025-02-27 05:58:35.677,6436098,16293259,17,7,
2025-02-27 05:58:35.790,6436178,16293257,4294967295,4294967295,
2025-02-27 05:58:35.790,6436098,16293257,18,21,
2025-02-27 05:58:35.778,6436228,16293257,4294967295,4294967295,
2025-02-27 05:58:35.804,6436097,15798808,26,16,
2025-02-27 05:58:35.953,6436097,16170593,26,15,
2025-02-27 05:58:36.007,6436098,16170713,25,19,
2025-02-27 05:58:36.103,6436098,15943140,26,20,
2025-02-27 05:58:36.250,6436098,15943097,26,17,
2025-02-27 05:58:36.337,6436098,829021264,25,16,
2025-02-27 05:58:36.481,6436096,829021122,18,7,
2025-02-27 05:58:36.493,6436097,15943149,11,5,
2025-02-27 05:58:36.524,6436178,829021280,25,20,
2025-02-27 05:58:36.670,6436097,16293208,13,20,
2025-02-27 05:58:36.879,6436098,15888685,21,18,
2025-02-27 05:58:36.989,6436096,16293243,26,7,
2025-02-27 05:58:37.126,6436098,15798837,25,14,
2025-02-27 05:58:37.177,6436097,15943151,16,18,
2025-02-27 05:58:37.241,6436097,16293089,26,15,
2025-02-27 05:58:37.241,6436137,16293089,19,14,
2025-02-27 05:58:37.389,6436098,829021179,5,7,
2025-02-27 05:58:37.402,6436098,15798725,4,12,
2025-02-27 05:58:37.539,6436097,16293053,21,19,
2025-02-27 05:58:37.560,6436098,16102365,22,21,
2025-02-27 05:58:37.652,6436238,829021281,14,10,
2025-02-27 05:58:37.713,6436097,15888696,25,22,
2025-02-27 05:58:37.701,6436238,15888696,4294967295,4294967295,
2025-02-27 05:58:37.902,6436098,829021291,9,3,
2025-02-27 05:58:38.105,6436238,15943143,15,9,
2025-02-27 05:58:38.225,6436098,15943132,25,9,
2025-02-27 05:58:38.245,6436238,16292742,26,24,
2025-02-27 05:58:38.368,6436098,829021292,11,11,
2025-02-27 05:58:38.375,6436238,16170722,21,11,
2025-02-27 05:58:38.482,6436097,829021228,5,12,
2025-02-27 05:58:39.161,6436097,15798840,19,18,
2025-02-27 05:58:39.185,6436228,829021282,21,9,
2025-02-27 05:58:39.496,6436228,829021284,23,16,
2025-02-27 05:58:39.541,6436098,15798498,22,21,
2025-02-27 05:58:39.566,6436096,828959225,21,11,
2025-02-27 05:58:39.665,6436098,16170712,26,4,
2025-02-27 05:58:39.743,6436096,15943131,14,5,
2025-02-27 05:58:39.743,6436136,15943131,4294967295,4294967295,
2025-02-27 05:58:39.816,6436098,16170726,26,9,
2025-02-27 05:58:39.883,6436098,829021096,21,7,
2025-02-27 05:58:40.104,6436097,15943144,11,27,
2025-02-27 05:58:40.158,6436098,16170416,26,14,
2025-02-27 05:58:40.212,6436098,15888597,21,13,
2025-02-27 05:58:40.417,6436238,15798839,4294967295,4294967295,
2025-02-27 05:58:40.417,6436228,15798839,4294967295,4294967295,
2025-02-27 05:58:40.429,6436098,15798839,25,14,
2025-02-27 05:58:40.537,6436238,829021275,22,14,
2025-02-27 05:58:40.604,6436238,829021276,21,14,
2025-02-27 05:58:40.682,6436098,15888642,26,22,
2025-02-27 05:58:40.733,6436097,16293248,26,15,
2025-02-27 05:58:40.910,6436098,16293257,19,22,
2025-02-27 05:58:40.910,6436178,16293257,4294967295,4294967295,
2025-02-27 05:58:40.899,6436228,16293257,4294967295,4294967295,
2025-02-27 05:58:40.924,6436097,15798808,26,18,
2025-02-27 05:58:41.073,6436097,16170593,26,15,
2025-02-27 05:58:41.370,6436098,15943097,26,17,
2025-02-27 05:58:41.457,6436098,829021264,25,14,
2025-02-27 05:58:41.601,6436096,829021122,16,5,
2025-02-27 05:58:41.644,6436178,829021280,26,20,
2025-02-27 05:58:41.790,6436097,16293208,13,19,
2025-02-27 05:58:41.999,6436098,15888685,20,20,
2025-02-27 05:58:42.109,6436096,16293243,26,6,
2025-02-27 05:58:42.246,6436098,15798837,26,21,
2025-02-27 05:58:42.361,6436097,16293089,26,14,
2025-02-27 05:58:42.361,6436137,16293089,26,16,
2025-02-27 05:58:42.387,6436098,15888707,18,17,
2025-02-27 05:58:42.509,6436098,829021179,7,9,
2025-02-27 05:58:42.522,6436098,15798725,4,11,
2025-02-27 05:58:42.659,6436097,16293053,21,19,
2025-02-27 05:58:42.680,6436098,16102365,22,21,
2025-02-27 05:58:42.752,6436097,15798844,19,6,
2025-02-27 05:58:42.773,6436238,829021281,11,7,
2025-02-27 05:58:43.226,6436238,15943143,21,12,
2025-02-27 05:58:43.366,6436238,16292742,26,23,
2025-02-27 05:58:43.488,6436098,829021292,15,9,
2025-02-27 05:58:43.555,6436098,16170730,13,9,
2025-02-27 05:58:43.543,6436228,16170730,4294967295,4294967295,
2025-02-27 05:58:43.602,6436097,829021228,8,14,
2025-02-27 05:58:44.306,6436228,829021282,21,12,
2025-02-27 05:58:44.617,6436228,829021284,21,13,
2025-02-27 05:58:44.644,6436098,15888709,25,17,
2025-02-27 05:58:44.661,6436098,15798498,22,24,
2025-02-27 05:58:44.686,6436096,828959225,21,4,
2025-02-27 05:58:44.863,6436096,15943131,16,5,
2025-02-27 05:58:44.863,6436136,15943131,4294967295,4294967295,
2025-02-27 05:58:45.003,6436098,829021096,20,10,
2025-02-27 05:58:45.145,6436097,16293266,26,21,
2025-02-27 05:58:45.133,6436228,16293266,4294967295,4294967295,
2025-02-27 05:58:45.133,6436238,16293266,4294967295,4294967295,
2025-02-27 05:58:45.278,6436098,16170416,26,18,
2025-02-27 05:58:45.332,6436098,15888597,22,17,
2025-02-27 05:58:45.658,6436238,829021275,22,9,
2025-02-27 05:58:45.725,6436238,829021276,22,10,
2025-02-27 05:58:45.853,6436097,16293248,26,15,
2025-02-27 05:58:46.030,6436178,16293257,4294967295,4294967295,
2025-02-27 05:58:46.030,6436098,16293257,20,17,
2025-02-27 05:58:46.020,6436228,16293257,4294967295,4294967295,
2025-02-27 05:58:46.044,6436097,15798808,25,15,
2025-02-27 05:58:46.193,6436097,16170593,26,14,
2025-02-27 05:58:46.490,6436098,15943097,26,18,
2025-02-27 05:58:46.512,6436098,15798845,17,16,
2025-02-27 05:58:46.512,6436178,15798845,4294967295,4294967295,
2025-02-27 05:58:46.500,6436228,15798845,4294967295,4294967295,
2025-02-27 05:58:46.577,6436098,829021264,26,18,
2025-02-27 05:58:46.640,6436097,15798849,14,2,
2025-02-27 05:58:46.721,6436096,829021122,18,4,
2025-02-27 05:58:46.764,6436178,829021280,26,20,
2025-02-27 05:58:46.910,6436097,16293208,12,10,
2025-02-27 05:58:47.119,6436098,15888685,24,19,
2025-02-27 05:58:47.366,6436098,15798837,26,20,
2025-02-27 05:58:47.481,6436097,16293089,26,14,
2025-02-27 05:58:47.481,6436137,16293089,26,16,
2025-02-27 05:58:47.629,6436098,829021179,6,9,
2025-02-27 05:58:47.642,6436098,15798725,4,17,
2025-02-27 05:58:47.779,6436097,16293053,21,19,
2025-02-27 05:58:47.800,6436098,16102365,22,20,
2025-02-27 05:58:47.985,6436238,15943132,10,2,
2025-02-27 05:58:48.079,6436097,16170736,15,4,
2025-02-27 05:58:48.347,6436238,15943143,21,7,
2025-02-27 05:58:48.403,6436098,16170737,23,18,
2025-02-27 05:58:48.487,6436238,16292742,26,24,
2025-02-27 05:58:48.722,6436097,829021228,6,14,
2025-02-27 05:58:49.427,6436228,829021282,20,5,
2025-02-27 05:58:49.586,6436098,15888715,26,7,
2025-02-27 05:58:49.738,6436228,829021284,23,8,
2025-02-27 05:58:49.764,6436098,15888709,24,17,
2025-02-27 05:58:49.781,6436098,15798498,22,17,
2025-02-27 05:58:49.806,6436096,828959225,21,3,
2025-02-27 05:58:49.983,6436096,15943131,16,5,
2025-02-27 05:58:49.983,6436136,15943131,4294967295,4294967295,
2025-02-27 05:58:50.123,6436098,829021096,14,8,
2025-02-27 05:58:50.212,6436098,15888716,26,20,
2025-02-27 05:58:50.265,6436097,16293266,26,22,
2025-02-27 05:58:50.254,6436228,16293266,4294967295,4294967295,
2025-02-27 05:58:50.254,6436238,16293266,4294967295,4294967295,
2025-02-27 05:58:50.398,6436098,16170416,26,14,
2025-02-27 05:58:50.452,6436098,15888597,23,15,
2025-02-27 05:58:50.779,6436238,829021275,22,8,
2025-02-27 05:58:50.846,6436238,829021276,22,10,
2025-02-27 05:58:50.973,6436097,16293248,26,12,
2025-02-27 05:58:51.065,6436098,15798853,21,15,
2025-02-27 05:58:51.150,6436178,16293257,4294967295,4294967295,
2025-02-27 05:58:51.150,6436098,16293257,22,17,
2025-02-27 05:58:51.141,6436228,16293257,4294967295,4294967295,
2025-02-27 05:58:51.164,6436097,15798808,26,18,
2025-02-27 05:58:51.313,6436097,16170593,26,15,
2025-02-27 05:58:51.610,6436098,15943097,26,18,
2025-02-27 05:58:51.632,6436178,15798845,4294967295,4294967295,
2025-02-27 05:58:51.632,6436098,15798845,21,16,
2025-02-27 05:58:51.621,6436228,15798845,4294967295,4294967295,
2025-02-27 05:58:51.697,6436098,829021264,24,18,
2025-02-27 05:58:51.760,6436097,15798849,13,5,
2025-02-27 05:58:51.841,6436096,829021122,19,4,
2025-02-27 05:58:51.884,6436178,829021280,26,20,
2025-02-27 05:58:51.989,6436098,16170741,18,7,
2025-02-27 05:58:52.030,6436097,16293208,20,7,
2025-02-27 05:58:52.239,6436098,15888685,24,16,
2025-02-27 05:58:52.486,6436098,15798837,26,17,
2025-02-27 05:58:52.601,6436137,16293089,26,17,
2025-02-27 05:58:52.601,6436097,16293089,26,12,
2025-02-27 05:58:52.749,6436098,829021179,7,5,
2025-02-27 05:58:52.762,6436098,15798725,3,19,
2025-02-27 05:58:52.899,6436097,16293053,21,18,
2025-02-27 05:58:52.920,6436098,16102365,22,20,
2025-02-27 05:58:53.106,6436238,15943132,18,6,
2025-02-27 05:58:53.608,6436238,16292742,26,26,
2025-02-27 05:58:53.842,6436097,829021228,6,14,
2025-02-27 05:58:54.548,6436228,829021282,21,15,
2025-02-27 05:58:54.706,6436098,15888715,26,7,
2025-02-27 05:58:54.859,6436228,829021284,23,18,
2025-02-27 05:58:54.926,6436096,828959225,21,3,
2025-02-27 05:58:55.103,6436096,15943131,15,5,
2025-02-27 05:58:55.103,6436136,15943131,4294967295,4294967295,
2025-02-27 05:58:55.206,6436096,16170745,24,2,
2025-02-27 05:58:55.243,6436098,829021096,17,5,
2025-02-27 05:58:55.332,6436098,15888716,26,19,
2025-02-27 05:58:55.385,6436097,16293266,26,21,
2025-02-27 05:58:55.375,6436228,16293266,4294967295,4294967295,
2025-02-27 05:58:55.375,6436238,16293266,4294967295,4294967295,
