Datetime,Serving_Cell_Id, Call_Id, ulRetransErrorNumber,ulCrcInitTransTotalNumber,dlRetransErrorNumber,dlCode0InitTransTotalNumber,dlCode1InitTransTotalNumber,ulRbUsedNumber,dlRbUsedNumber,dlWidebandCqiCode0,dlWidebandCqiCode1,rankIndication
2025-02-27 05:58:28.422,6436098,15943133,0,5,0,3,2,0,8,15,10,0,
2025-02-27 05:58:28.478,6436097,16170705,0,511,0,2,2,0,4,15,8,0,
2025-02-27 05:58:28.714,6436098,15943143,0,187,0,465,77,1472,23194,12,8,0,
2025-02-27 05:58:29.144,6436228,829021282,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,10,255,0,
2025-02-27 05:58:29.301,6436098,15798498,0,31,0,52,0,139,1552,13,7,0,
2025-02-27 05:58:29.301,6436228,829021283,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,8,255,0,
2025-02-27 05:58:29.327,6436096,828959225,0,523,0,93,0,434,6927,6,6,0,
2025-02-27 05:58:29.425,6436098,16170712,0,16,0,21,0,94,94,6,255,0,
2025-02-27 05:58:29.455,6436228,829021284,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,10,255,0,
2025-02-27 05:58:29.504,6436096,15943131,0,5,0,7,0,3,29,6,7,0,
2025-02-27 05:58:29.504,6436136,15943131,4294967295,4294967295,0,0,0,4294967295,0,255,255,255,
2025-02-27 05:58:29.643,6436098,829021096,0,37,0,29,3,1171,245,5,2,0,
2025-02-27 05:58:29.680,6436097,15888696,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,14,13,1,
2025-02-27 05:58:29.736,6436096,829021273,0,477,0,6,0,0,20,6,255,0,
2025-02-27 05:58:29.857,6436098,16292742,0,144,0,254,254,900,4001,15,15,1,
2025-02-27 05:58:29.864,6436097,15943144,0,492,0,12,0,140,17,13,255,0,
2025-02-27 05:58:29.919,6436098,16170416,0,145,0,299,186,382,860,11,8,0,
2025-02-27 05:58:29.972,6436098,15888597,1,168,0,395,20,6025,16902,9,4,0,
2025-02-27 05:58:30.170,6436098,16293255,0,5,0,2,2,0,4,8,10,1,
2025-02-27 05:58:30.296,6436238,829021275,0,7,0,7,5,16,35,12,12,255,
2025-02-27 05:58:30.363,6436238,829021276,0,22,0,22,20,519,121,13,13,255,
2025-02-27 05:58:30.442,6436098,15888642,0,8,0,10,0,8,29,12,0,0,
2025-02-27 05:58:30.494,6436097,16293248,1,518,0,56,57,77,4147,8,9,1,
2025-02-27 05:58:30.575,6436098,16170722,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,11,255,0,
2025-02-27 05:58:30.684,6436097,15798808,0,78,0,142,140,329,3582,15,7,1,
2025-02-27 05:58:30.757,6436098,16293259,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,9,255,0,
2025-02-27 05:58:30.833,6436097,16170593,0,524,0,95,94,617,4229,9,11,1,
2025-02-27 05:58:30.870,6436178,16293257,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:58:30.870,6436098,16293257,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,0,4,1,
2025-02-27 05:58:30.858,6436228,16293257,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:58:30.887,6436098,16170713,0,36,0,47,45,511,213,11,11,1,
2025-02-27 05:58:30.984,6436098,15943140,0,41,0,147,144,217,12281,14,15,1,
2025-02-27 05:58:31.130,6436098,15943097,0,216,0,518,513,781,10081,10,11,1,
2025-02-27 05:58:31.217,6436098,829021264,1,56,0,82,83,1396,1527,10,10,1,
2025-02-27 05:58:31.362,6436096,829021122,0,643,0,526,0,12042,32548,7,6,0,
2025-02-27 05:58:31.404,6436178,829021280,2,493,0,70,0,120,3041,8,0,0,
2025-02-27 05:58:31.511,6436098,15888692,0,6,0,3,0,0,8,12,255,0,
2025-02-27 05:58:31.551,6436097,16293208,0,526,0,78,0,1528,4782,11,9,0,
2025-02-27 05:58:31.573,6436097,15943149,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,6,255,0,
2025-02-27 05:58:31.759,6436098,15888685,0,5,0,3,0,0,8,13,9,0,
2025-02-27 05:58:31.870,6436096,16293243,0,501,0,4,0,0,12,8,255,0,
2025-02-27 05:58:32.121,6436137,16293089,4294967295,4294967295,0,0,0,4294967295,0,255,255,255,
2025-02-27 05:58:32.121,6436097,16293089,0,685,0,599,496,1182,9657,11,8,0,
2025-02-27 05:58:32.206,6436098,15798837,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,15,255,0,
2025-02-27 05:58:32.257,6436097,15943151,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,10,10,1,
2025-02-27 05:58:32.269,6436098,829021179,5,207,0,2835,64,12361,257056,5,3,0,
2025-02-27 05:58:32.283,6436098,15798725,0,4,0,2,0,0,4,8,9,0,
2025-02-27 05:58:32.420,6436097,16293053,0,549,0,100,0,336,188,10,15,0,
2025-02-27 05:58:32.441,6436098,16102365,0,131,0,184,0,470,668,10,9,0,
2025-02-27 05:58:32.532,6436238,829021281,0,9,0,9,3,20,56,7,6,255,
2025-02-27 05:58:32.793,6436097,15888696,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,12,14,1,
2025-02-27 05:58:32.781,6436238,15888696,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:58:32.982,6436098,829021291,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,6,5,0,
