Datetime,Serving_Cell_Id, Call_Id, plmnIdReserved,plmnId,mmeGroupId,mmeCode,mtmsi,mmeUeS1apId,enodebUeSiapId
2025-02-27 05:58:28.018,6436097,16170716,0,[B@2ad99cf3,32769,16,4213128770,125856648,2767482,
2025-02-27 05:58:28.328,6436097,16293258,0,[B@6f31df32,32769,40,3251179769,279970803,2283089,
2025-02-27 05:58:28.478,6436097,16170717,0,[B@7c90b7b7,32769,16,3508219178,125910063,2799267,
2025-02-27 05:58:28.478,6436096,15798832,0,[B@5d7911d5,32769,40,3839436874,277351670,244552,
2025-02-27 05:58:28.598,6436098,15888695,0,[B@3ba1308d,32769,8,3407188560,163634485,1676110,
2025-02-27 05:58:29.016,6436228,829021283,0,[B@5a08b084,32769,8,3424698139,218170661,276305,
2025-02-27 05:58:29.172,6436228,829021284,0,[B@235c997d,32769,24,3591157844,30938359,1343128,
2025-02-27 05:58:29.468,6436097,15888696,0,[B@36bed37a,32769,40,3367583215,605554341,1397431,
2025-02-27 05:58:28.857,6436228,829021282,0,[B@4a9a878,32769,16,4112178412,125887450,2866181,
2025-02-27 05:58:28.978,6436097,16170719,0,[B@1b3ab4f9,32769,8,3835503982,163612230,2868055,
2025-02-27 05:58:28.868,6436238,16170718,0,[B@5c6a5192,32769,40,4294967295,605559717,2835330,
2025-02-27 05:58:29.438,6436238,16170720,0,[B@1c8f6c66,32769,8,4294967295,163595539,2905800,
2025-02-27 05:58:29.607,6436096,829021285,0,[B@552cede7,32769,56,3774056092,338694887,2344915,
2025-02-27 05:58:29.578,6436097,15798833,0,[B@1b7f06c7,32769,40,3583747332,558368853,332002,
2025-02-27 05:58:29.861,6436178,829021286,0,[B@151732fb,32769,24,3563151780,160961174,882648,
2025-02-27 05:58:29.928,6436097,15943147,0,[B@729c8063,32769,24,4131712737,86513632,904784,
2025-02-27 05:58:30.028,6436098,15798834,0,[B@40ed1802,32769,8,3834390555,163650244,1680,
2025-02-27 05:58:30.078,6436098,15888697,0,[B@23c767e6,32769,16,3742973454,125866813,1403093,
2025-02-27 05:58:30.118,6436098,15943148,0,[B@feb098f,32769,16,3817235393,125884241,934972,
2025-02-27 05:58:29.928,6436098,16170721,0,[B@19e21f89,32769,8,4178977739,163636424,2971111,
2025-02-27 05:58:30.318,6436098,16170722,0,[B@31e739bf,32769,8,3978200541,163617484,2997058,
2025-02-27 05:58:30.498,6436098,16293259,0,[B@29079032,32769,56,3908957092,546314778,2013746,
2025-02-27 05:58:30.579,6436178,829021288,0,[B@7e7743ec,32769,8,3308121763,306219697,4628,
2025-02-27 05:58:30.818,6436098,15888698,0,[B@776015fc,32769,40,4053909664,605560346,1407936,
2025-02-27 05:58:30.858,6436097,15798835,0,[B@7f42e06e,32769,8,3255561408,163581360,32976,
2025-02-27 05:58:30.447,6436238,829021287,0,[B@6ad179b4,32769,40,4174294779,675813784,4294967295,
2025-02-27 05:58:31.163,6436097,829021289,0,[B@2efd2f21,32769,40,4294967295,1027609503,943420,
