Datetime,Serving_Cell_Id, Call_Id, eRabCount,eRabThroughputStatList[0].eRabId,eRabThroughputStatList[0].qci,eRabThroughputStatList[0].ulDataVolume,eRabThroughputStatList[0].dlDataVolume,eRabThroughputStatList[1].eRabId,eRabThroughputStatList[1].qci,eRabThroughputStatList[1].ulDataVolume,eRabThroughputStatList[1].dlDataVolume,eRabThroughputStatList[2].eRabId,eRabThroughputStatList[2].qci,eRabThroughputStatList[2].ulDataVolume,eRabThroughputStatList[2].dlDataVolume,eRabThroughputStatList[3].eRabId,eRabThroughputStatList[3].qci,eRabThroughputStatList[3].ulDataVolume,eRabThroughputStatList[3].dlDataVolume,eRabThroughputStatList[4].eRabId,eRabThroughputStatList[4].qci,eRabThroughputStatList[4].ulDataVolume,eRabThroughputStatList[4].dlDataVolume,eRabThroughputStatList[5].eRabId,eRabThroughputStatList[5].qci,eRabThroughputStatList[5].ulDataVolume,eRabThroughputStatList[5].dlDataVolume,eRabThroughputStatList[6].eRabId,eRabThroughputStatList[6].qci,eRabThroughputStatList[6].ulDataVolume,eRabThroughputStatList[6].dlDataVolume,eRabThroughputStatList[7].eRabId,eRabThroughputStatList[7].qci,eRabThroughputStatList[7].ulDataVolume,eRabThroughputStatList[7].dlDataVolume
2025-02-27 05:36:29.459,6436238,15940897,3,5,9,14030,478484,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.556,6436137,828964612,2,5,8,0,0,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.621,6436097,15797226,3,5,9,0,0,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.664,6436098,15941414,3,5,9,99478,813583,6,8,2,96,7,5,2,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.751,6436238,15885154,3,5,9,86892,0,6,5,0,0,7,8,0,656012,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.769,6436098,15886403,3,5,9,22214,35718,6,8,0,8216,7,7,0,6707,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:29.835,6436096,15941510,2,5,9,2373,2087,7,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.399,6436238,829019619,3,5,9,10609,8544,7,5,0,0,6,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.622,6436098,16291532,2,5,9,0,0,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.620,6436238,16291532,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.825,6436238,15886998,3,5,9,2544,952,6,5,0,0,7,8,0,5662,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.912,6436098,15796747,2,5,9,8590,648,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.907,6436238,16102365,3,5,9,7377,20667,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.924,6436096,829019821,3,5,9,5050,4515,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:30.980,6436096,15886992,2,5,8,0,0,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:31.225,6436137,16291559,3,5,9,5973,42633,6,8,0,0,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:31.266,6436238,828963725,3,5,9,34382,323094,6,5,0,0,7,8,0,43642,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:31.319,6436096,15887007,2,5,9,310,40,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:36:31.453,6436096,829019813,2,5,8,40561,949184,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
