Datetime,Serving_Cell_Id, Call_Id, eRabCount,eRabThroughputStatList[0].eRabId,eRabThroughputStatList[0].qci,eRabThroughputStatList[0].ulDataVolume,eRabThroughputStatList[0].dlDataVolume,eRabThroughputStatList[1].eRabId,eRabThroughputStatList[1].qci,eRabThroughputStatList[1].ulDataVolume,eRabThroughputStatList[1].dlDataVolume,eRabThroughputStatList[2].eRabId,eRabThroughputStatList[2].qci,eRabThroughputStatList[2].ulDataVolume,eRabThroughputStatList[2].dlDataVolume,eRabThroughputStatList[3].eRabId,eRabThroughputStatList[3].qci,eRabThroughputStatList[3].ulDataVolume,eRabThroughputStatList[3].dlDataVolume,eRabThroughputStatList[4].eRabId,eRabThroughputStatList[4].qci,eRabThroughputStatList[4].ulDataVolume,eRabThroughputStatList[4].dlDataVolume,eRabThroughputStatList[5].eRabId,eRabThroughputStatList[5].qci,eRabThroughputStatList[5].ulDataVolume,eRabThroughputStatList[5].dlDataVolume,eRabThroughputStatList[6].eRabId,eRabThroughputStatList[6].qci,eRabThroughputStatList[6].ulDataVolume,eRabThroughputStatList[6].dlDataVolume,eRabThroughputStatList[7].eRabId,eRabThroughputStatList[7].qci,eRabThroughputStatList[7].ulDataVolume,eRabThroughputStatList[7].dlDataVolume
2025-02-27 05:30:54.956,6436097,16168553,3,5,9,15524,630,6,5,0,0,7,8,0,699233,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.011,6436098,15940980,3,5,9,0,0,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.054,6436098,16291038,3,5,9,0,0,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.190,6436096,15796303,3,5,9,32328,351763,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.548,6436097,15940829,3,5,9,881,230,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.548,6436238,15940662,2,5,8,4612,207420,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.576,6436178,15940999,3,5,9,5838,212,6,8,0,0,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.727,6436238,828964665,2,5,9,0,0,7,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.756,6436238,15886551,2,5,9,350,286,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.813,6436097,15886458,3,5,9,7570,0,6,8,0,333637,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.874,6436097,16291030,3,5,9,178837,801350,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:55.937,6436096,15940981,2,5,8,162,149,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.021,6436098,828963198,4,5,9,80752,515256,6,5,0,0,7,8,0,0,8,7,0,0,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.170,6436097,15886552,2,5,9,4373,3748,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.180,6436098,16291047,3,5,9,5965,26191,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.233,6436238,828963725,3,5,9,18848,314431,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.464,6436097,828962127,4,5,9,92960,1621,6,5,0,0,7,8,0,14544,8,7,0,0,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.472,6436097,16168562,1,5,9,0,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.534,6436097,828964446,3,5,9,7236,60,6,8,0,0,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.695,6436178,828964598,3,5,9,0,0,7,5,0,0,6,1,638,1695,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.720,6436098,15886555,1,5,8,7799,5177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.727,6436096,16291024,3,5,9,0,0,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.753,6436137,828964612,2,5,8,246569,304500,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.758,6436238,16102365,3,5,9,2447,19897,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.819,6436097,15886418,3,5,9,63369,751236,6,8,0,0,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.854,6436096,16168410,2,5,9,182,845,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:56.968,6436098,15886403,2,5,9,1414,1354,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.183,6436238,16167876,2,5,9,6520,1062,7,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.253,6436238,15886452,3,5,9,19355,185909,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.349,6436098,828959225,3,5,9,13073,151839,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.429,6436178,16168485,2,5,9,792,0,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.789,6436096,15941003,2,5,9,2656,2804,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.818,6436238,16291031,2,5,8,2841,1752,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.836,6436096,15885868,3,5,9,109260,2760,6,5,0,0,7,8,0,4582677,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:57.891,6436098,15886161,3,5,9,2498,1416,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.110,6436098,15796747,2,5,9,546,0,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.237,6436138,828964398,3,5,9,62565,121744,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.239,6436238,15796748,2,5,8,2950,120,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.284,6436097,15886559,3,5,9,180,185,6,8,0,0,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.287,6436096,16168576,2,5,9,1781,1761,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.347,6436238,828964380,3,5,9,3704,0,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.368,6436098,15940943,3,5,9,82,0,6,5,0,0,7,8,0,128,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.371,6436098,16291051,3,5,9,3441,2726,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.415,6436097,16291043,1,5,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.413,6436238,16168569,2,5,9,580,144,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.660,6436097,16290888,2,5,9,5089,17171,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:30:58.740,6436238,828964664,2,5,9,0,0,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
