Datetime,Serving_Cell_Id, Call_Id, measurementId,rsrpRslt,rsrqRslt,nCellCount,pci_1,rsrp_1,rsrq_1,pci_2,rsrp_2,rsrq_2,pci_3,rsrp_3,rsrq_3,pci_4,rsrp_4,rsrq_4,pci_5,rsrp_5,rsrq_5,pci_6,rsrp_6,rsrq_6,pci_7,rsrp_7,rsrq_7,pci_8,rsrpv,rsrq_8
2025-02-27 05:47:26.828,6436096,15798095,8,65,15,1,389,63,11,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:26.828,6436097,15887901,8,59,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:26.878,6436098,15886403,15,54,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:26.948,6436098,15798102,8,41,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:26.948,6436098,15729487,12,47,17,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:26.988,6436097,15942397,8,47,17,1,44,46,13,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.038,6436096,15887878,8,48,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.068,6436097,15887858,11,56,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.068,6436238,15797458,9,40,23,1,108,37,14,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.108,6436097,15942391,8,63,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.128,6436238,15797715,17,45,27,1,155,34,4,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.248,6436098,15942398,6,53,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.248,6436098,15886738,9,35,12,1,225,28,6,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.288,6436097,15797959,9,47,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.308,6436238,15942399,8,62,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.328,6436238,15942346,9,33,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.348,6436096,15940019,8,43,21,1,10,34,4,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.388,6436238,15887894,8,40,21,2,108,36,11,155,33,10,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.448,6436098,15798103,8,44,15,3,11,41,15,117,40,8,387,39,6,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.548,6436138,829020606,23,42,16,2,138,36,7,493,31,0,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.568,6436097,15887774,8,64,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.588,6436096,15818787,10,73,19,1,389,69,13,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.628,6436096,15887895,10,52,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:26.938,6436098,16166663,10,69,19,1,387,63,7,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.088,6436096,16292428,9,51,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.128,6436097,829019646,16,40,17,1,226,36,15,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.128,6436098,829020511,14,34,7,3,225,33,14,183,29,2,11,27,0,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.228,6436097,16169943,8,60,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.228,6436098,16169896,8,52,18,1,225,45,3,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.268,6436098,16292429,8,44,16,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.348,6436097,16292200,11,55,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.508,6436097,16292416,8,56,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.628,6436096,16291412,8,52,16,1,389,53,16,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.708,6436098,16292430,8,63,17,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.808,6436096,829020568,19,48,16,4,117,43,5,389,43,5,31,41,1,225,40,0,,,,,,,,,,,,,
2025-02-27 05:47:27.888,6436238,16169725,8,35,16,1,108,24,0,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.688,6436098,15887860,8,56,17,3,387,51,9,388,51,7,338,47,1,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.738,6436097,15887221,8,50,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.768,6436098,15942400,5,67,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.848,6436238,15942125,10,66,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.848,6436238,829020440,23,65,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.888,6436096,15798101,9,58,13,1,389,57,16,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.908,6436238,15887689,8,50,21,1,155,42,4,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.938,6436097,15798097,8,56,25,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.948,6436096,15942286,8,49,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.028,6436238,15798096,8,53,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.048,6436238,15887896,8,43,23,1,253,35,12,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.908,6436238,16292392,9,36,25,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.958,6436097,16169959,8,58,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:27.978,6436097,16292393,8,48,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.168,6436098,16169577,8,34,16,3,225,31,10,11,27,2,387,26,4,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.188,6436098,16288084,8,60,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.248,6436097,16292423,8,56,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.268,6436136,829020432,25,40,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.268,6436238,16292417,10,40,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.388,6436098,16292431,8,53,15,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.408,6436097,16292307,8,25,16,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.438,6436097,16169960,8,56,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.468,6436098,829020598,8,40,10,3,11,40,11,225,38,5,117,36,3,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.508,6436238,16292031,9,41,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.548,6436098,16292239,8,44,15,1,242,36,0,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.548,6436097,829020428,17,40,13,3,226,39,8,394,37,3,9,34,0,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.568,6436098,16292286,8,53,13,1,387,51,10,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.608,6436096,16169832,11,57,21,1,389,50,6,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.608,6436238,16169961,8,44,24,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.798,6436098,829020478,16,38,12,1,225,36,8,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.798,6436096,16169950,8,54,19,3,389,47,6,11,43,0,117,42,2,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.148,6436096,15798104,9,54,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.148,6436096,15887861,8,55,15,1,11,55,17,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.288,6436096,828964597,12,65,23,1,389,57,0,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.328,6436238,15798098,8,45,25,1,155,31,0,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.388,6436098,15884458,9,62,16,1,387,59,10,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.408,6436097,15942342,11,61,25,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.448,6436098,15798099,8,41,21,1,225,32,7,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.508,6436238,829019941,17,42,20,2,155,44,14,108,40,6,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.548,6436096,829020474,14,50,10,2,389,46,5,394,46,4,,,,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.548,6436098,15872833,5,52,15,3,252,45,1,225,44,0,183,37,0,,,,,,,,,,,,,,,,
2025-02-27 05:47:28.588,6436097,15887900,9,52,23,0,,,,,,,,,,,,,,,,,,,,,,,,,
