Datetime,Serving_Cell_Id, Call_Id, uePhr
2025-02-27 05:36:29.460,6436238,15940897,29,
2025-02-27 05:36:29.556,6436137,828964612,24,
2025-02-27 05:36:29.621,6436097,15797226,30,
2025-02-27 05:36:29.652,6436098,15887014,37,
2025-02-27 05:36:29.664,6436098,15941414,15,
2025-02-27 05:36:29.752,6436238,15885154,28,
2025-02-27 05:36:29.770,6436098,15886403,34,
2025-02-27 05:36:29.835,6436096,15941510,31,
2025-02-27 05:36:30.399,6436096,829019519,18,
2025-02-27 05:36:30.393,6436238,829019519,255,
2025-02-27 05:36:30.399,6436238,829019619,35,
2025-02-27 05:36:30.623,6436098,16291532,17,
2025-02-27 05:36:30.621,6436238,16291532,255,
2025-02-27 05:36:30.652,6436098,15887016,27,
2025-02-27 05:36:30.826,6436238,15886998,29,
2025-02-27 05:36:30.908,6436238,16102365,30,
2025-02-27 05:36:30.914,6436098,15796747,43,
2025-02-27 05:36:30.924,6436096,829019821,31,
2025-02-27 05:36:30.980,6436096,15886992,34,
2025-02-27 05:36:31.217,6436098,829019519,3,
2025-02-27 05:36:31.211,6436238,829019519,255,
2025-02-27 05:36:31.225,6436137,16291559,21,
2025-02-27 05:36:31.267,6436238,828963725,35,
2025-02-27 05:36:31.319,6436096,15887007,31,
2025-02-27 05:36:31.453,6436096,829019813,26,
2025-02-27 05:36:31.610,6436098,16291566,29,
2025-02-27 05:36:31.611,6436097,16291244,14,
2025-02-27 05:36:31.760,6436096,829019823,31,
2025-02-27 05:36:31.899,6436097,16169058,34,
2025-02-27 05:36:32.441,6436098,16169091,14,
2025-02-27 05:36:32.561,6436138,829019832,20,
2025-02-27 05:36:32.868,6436226,16169103,32,
2025-02-27 05:36:32.871,6436098,15941507,38,
2025-02-27 05:36:32.875,6436098,16169109,30,
2025-02-27 05:36:33.011,6436097,15941527,32,
2025-02-27 05:36:33.036,6436098,16291547,29,
2025-02-27 05:36:33.149,6436098,16169074,17,
2025-02-27 05:36:33.164,6436226,829019519,255,
2025-02-27 05:36:33.157,6436096,829019519,20,
2025-02-27 05:36:33.185,6436098,16168748,4,
2025-02-27 05:36:33.186,6436238,16169104,32,
2025-02-27 05:36:33.196,6436098,829019834,12,
2025-02-27 05:36:33.258,6436238,15886921,33,
2025-02-27 05:36:33.397,6436238,15796989,33,
2025-02-27 05:36:33.510,6436238,829019821,27,
2025-02-27 05:36:33.556,6436098,16291569,27,
2025-02-27 05:36:33.551,6436238,16291569,255,
2025-02-27 05:36:33.607,6436226,829019787,34,
2025-02-27 05:36:33.625,6436097,15887011,15,
2025-02-27 05:36:33.670,6436238,829019823,16,
2025-02-27 05:36:33.677,6436096,829019818,37,
2025-02-27 05:36:33.697,6436226,829019799,26,
2025-02-27 05:36:33.704,6436238,15797247,17,
2025-02-27 05:36:33.713,6436098,828964598,42,
2025-02-27 05:36:33.772,6436097,828964380,26,
2025-02-27 05:36:33.810,6436098,829019519,7,
2025-02-27 05:36:33.816,6436098,16291570,25,
2025-02-27 05:36:33.829,6436098,16168693,44,
2025-02-27 05:36:33.842,6436096,15797241,41,
2025-02-27 05:36:34.236,6436097,15941519,10,
2025-02-27 05:36:34.387,6436097,828962127,30,
2025-02-27 05:36:34.486,6436096,828959225,43,
2025-02-27 05:36:34.581,6436238,15940897,31,
2025-02-27 05:36:34.676,6436137,828964612,26,
2025-02-27 05:36:34.784,6436098,15941414,14,
2025-02-27 05:36:34.873,6436238,15885154,35,
2025-02-27 05:36:34.890,6436098,15886403,37,
2025-02-27 05:36:35.001,6436098,15887024,1,
2025-02-27 05:36:35.158,6436096,15941530,22,
2025-02-27 05:36:35.158,6436096,16291578,26,
2025-02-27 05:36:35.177,6436096,16169114,30,
2025-02-27 05:36:35.238,6436096,829019837,33,
2025-02-27 05:36:35.232,6436238,829019837,255,
2025-02-27 05:36:35.245,6436226,829019837,255,
2025-02-27 05:36:35.421,6436097,829019838,11,
2025-02-27 05:36:35.520,6436238,829019619,35,
2025-02-27 05:36:35.572,6436098,15887016,33,
