Datetime,Serving_Cell_Id, Call_Id, ulDataVolumePerUe,ulDataVolumeLastTtiPerUe,ulDataTransmissionTimePerUe,dlDataVolumePerUe,dlDataVolumeLastTtiPerUe,dlDataTransmissionTimePerUe,eRabCount,eRabThroughputStatList[0].eRabId,eRabThroughputStatList[0].qci,eRabThroughputStatList[0].ulDataVolumePerERab,eRabThroughputStatList[0].ulDataTransmissionTimePerERab,eRabThroughputStatList[0].dlDataVolumePerERab,eRabThroughputStatList[0].dlDataTransmissionTimePerERab,eRabThroughputStatList[1].eRabId,eRabThroughputStatList[1].qci,eRabThroughputStatList[1].ulDataVolumePerERab,eRabThroughputStatList[1].ulDataTransmissionTimePerERab,eRabThroughputStatList[1].dlDataVolumePerERab,eRabThroughputStatList[1].dlDataTransmissionTimePerERab,eRabThroughputStatList[2].eRabId,eRabThroughputStatList[2].qci,eRabThroughputStatList[2].ulDataVolumePerERab,eRabThroughputStatList[2].ulDataTransmissionTimePerERab,eRabThroughputStatList[2].dlDataVolumePerERab,eRabThroughputStatList[2].dlDataTransmissionTimePerERab,eRabThroughputStatList[3].eRabId,eRabThroughputStatList[3].qci,eRabThroughputStatList[3].ulDataVolumePerERab,eRabThroughputStatList[3].ulDataTransmissionTimePerERab,eRabThroughputStatList[3].dlDataVolumePerERab,eRabThroughputStatList[3].dlDataTransmissionTimePerERab,eRabThroughputStatList[4].eRabId,eRabThroughputStatList[4].qci,eRabThroughputStatList[4].ulDataVolumePerERab,eRabThroughputStatList[4].ulDataTransmissionTimePerERab,eRabThroughputStatList[4].dlDataVolumePerERab,eRabThroughputStatList[4].dlDataTransmissionTimePerERab,eRabThroughputStatList[5].eRabId,eRabThroughputStatList[5].qci,eRabThroughputStatList[5].ulDataVolumePerERab,eRabThroughputStatList[5].ulDataTransmissionTimePerERab,eRabThroughputStatList[5].dlDataVolumePerERab,eRabThroughputStatList[5].dlDataTransmissionTimePerERab,eRabThroughputStatList[6].eRabId,eRabThroughputStatList[6].qci,eRabThroughputStatList[6].ulDataVolumePerERab,eRabThroughputStatList[6].ulDataTransmissionTimePerERab,eRabThroughputStatList[6].dlDataVolumePerERab,eRabThroughputStatList[6].dlDataTransmissionTimePerERab,eRabThroughputStatList[7].eRabId,eRabThroughputStatList[7].qci,eRabThroughputStatList[7].ulDataVolumePerERab,eRabThroughputStatList[7].ulDataTransmissionTimePerERab,eRabThroughputStatList[7].dlDataVolumePerERab,eRabThroughputStatList[7].dlDataTransmissionTimePerERab
2025-02-27 05:41:58.610,6436096,15887468,0,1456,0,0,88,0,3,5,9,182,2,0,0,6,8,0,0,0,0,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.659,6436238,16102365,0,76024,36,411204,37679,2944,3,5,9,20093,100,13698,2754,6,5,0,0,0,0,7,8,0,0,397506,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.774,6436097,16291914,0,49376,4,240667,45324,64,3,5,9,7427,14,0,0,6,8,0,0,240667,64,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.830,6436098,16291742,0,58672,6,174712,6975,150,3,5,9,13249,29,174712,150,6,8,0,0,0,0,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.876,6436098,15941970,0,1208,2,0,288,0,2,5,9,237,4,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.905,6436238,829019968,0,51360,71,367477,151571,3139,3,5,9,20864,126,367477,3139,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.940,6436098,15887469,0,0,1,0,476,0,2,6,5,0,0,0,0,8,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:58.942,6436098,829020212,0,0,0,0,0,0,2,5,9,0,0,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.004,6436098,829020036,0,21208,2,0,0,0,2,5,9,3455,5,0,0,6,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.060,6436097,16169539,0,8136,1,0,1242,0,3,5,9,1157,9,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.151,6436097,16291988,0,1528,0,0,195,0,2,5,9,191,4,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.261,6436238,15797458,0,89440,47,340042,20703,3707,3,5,9,19610,109,340042,3707,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.450,6436098,15797579,0,33864,6,37681,42593,568,2,5,8,5533,45,37681,568,6,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.744,6436098,15941773,0,163856,100,230961,481327,1740,3,5,9,43324,201,230961,1740,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.749,6436098,15885154,0,346704,68,107293,525672,150,3,5,9,73882,214,47,1,6,5,0,0,0,0,7,8,0,0,107246,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.798,6436096,15941872,0,6952,7,0,991,0,2,5,8,3570,19,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.817,6436226,15941872,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.887,6436098,15797711,0,1176,0,0,143,0,2,5,9,147,2,0,0,6,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:41:59.968,6436097,15887221,0,96008,10,207289,121611,118,3,5,9,17260,40,207289,118,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:00.084,6436096,16169421,0,773240,383,1975,44788,15,2,5,9,443588,532,1975,15,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:00.106,6436097,829020207,0,316016,100,472221,353086,733,3,5,9,61273,248,472221,733,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:00.449,6436096,16169494,0,20224,6,0,0,0,2,5,9,2837,13,0,0,6,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:00.985,6436098,15941533,0,93336,5,0,3968,0,3,5,9,0,0,0,0,6,5,1230,5,0,0,7,1,11233,241,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:01.008,6436238,15886921,0,67256,39,280956,143996,859,3,5,9,18130,90,280956,859,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:01.113,6436098,15887449,0,52512,8,178452,12539,1595,2,5,9,11686,28,178452,1595,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:01.230,6436137,15797707,0,0,0,0,0,0,2,5,9,0,0,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:01.230,6436097,15797707,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:01.448,6436098,15797712,0,268504,39,782454,339301,298,1,5,8,109341,101,782454,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:01.526,6436098,16169431,0,36936,4,0,80,0,2,5,9,5738,15,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:01.842,6436098,15941955,0,8976,3,2503,3196,28,3,5,9,3234,10,0,0,6,5,0,0,0,0,7,8,0,0,2503,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:01.885,6436097,15887473,0,3360,0,0,484,0,3,5,9,420,4,0,0,6,8,0,0,0,0,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:02.080,6436097,828962127,0,10160,1,60,2325,5,3,5,9,1342,36,60,5,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:02.134,6436098,15941938,0,1696,0,0,80,0,2,5,9,212,2,0,0,6,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:02.130,6436238,15941938,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:02.182,6436096,828959225,0,69832,10,124017,8101,164,2,5,9,10435,26,124017,164,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:02.434,6436096,16169549,0,102560,5,182,35580,14,2,5,8,13258,154,182,14,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:02.487,6436098,15797698,0,0,0,0,0,0,2,5,9,0,0,0,0,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:02.584,6436098,15886403,0,74536,21,5620,23912,236,3,5,9,12425,102,5192,231,6,8,0,0,63,2,7,7,0,0,365,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:02.590,6436096,829020168,0,3696,4,113,462,1,2,5,9,765,16,113,1,6,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:03.002,6436098,16169557,0,0,0,0,0,0,3,5,9,0,0,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:03.106,6436138,829020070,92522,60760,618,298604,25715,864,3,5,9,153282,683,298604,864,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:03.132,6436137,16291849,0,89648,190,338698,145499,315,3,5,9,29286,344,338698,315,6,8,0,0,0,0,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:03.440,6436096,15887476,0,42384,6,0,864,0,3,5,9,9586,11,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:03.530,6436098,16291987,0,7240,11,972,1898,2,3,5,9,2897,21,44,1,6,5,0,0,0,0,7,8,0,0,928,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:03.779,6436238,16102365,0,61520,19,217725,11773,291,3,5,9,17519,44,3186,158,6,5,0,0,0,0,7,8,0,0,214539,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:03.894,6436097,16291914,0,19136,7,274124,19426,61,3,5,9,5681,17,0,0,6,8,0,0,274124,61,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:03.950,6436098,16291742,0,19296,1,110617,1927,126,3,5,9,3546,8,110617,126,6,8,0,0,0,0,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.025,6436238,829019968,0,110048,110,323642,252879,1970,3,5,9,34041,200,323642,1970,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.060,6436098,15887469,0,0,0,0,119,0,2,6,5,0,0,0,0,8,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.124,6436098,829020036,0,19648,8,376,788,59,2,5,9,18934,15,376,59,6,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.180,6436097,16169539,0,1496,0,0,144,0,3,5,9,187,2,0,0,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.381,6436238,15797458,0,133144,80,295210,56907,1950,3,5,9,40646,144,295210,1950,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.570,6436098,15797579,0,8560,2,344,14908,10,2,5,8,1218,15,344,10,6,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.864,6436098,15941773,0,167440,150,163232,590051,1178,3,5,9,48263,247,163232,1178,6,5,0,0,0,0,7,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.869,6436098,15885154,0,195536,47,229479,462114,68,3,5,9,38240,177,0,0,6,5,0,0,0,0,7,8,0,0,229479,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
