Datetime,Serving_Cell_Id, Call_Id, eRabCount,eRabThroughputStatList[0].eRabId,eRabThroughputStatList[0].qci,eRabThroughputStatList[0].ulDataVolume,eRabThroughputStatList[0].dlDataVolume,eRabThroughputStatList[1].eRabId,eRabThroughputStatList[1].qci,eRabThroughputStatList[1].ulDataVolume,eRabThroughputStatList[1].dlDataVolume,eRabThroughputStatList[2].eRabId,eRabThroughputStatList[2].qci,eRabThroughputStatList[2].ulDataVolume,eRabThroughputStatList[2].dlDataVolume,eRabThroughputStatList[3].eRabId,eRabThroughputStatList[3].qci,eRabThroughputStatList[3].ulDataVolume,eRabThroughputStatList[3].dlDataVolume,eRabThroughputStatList[4].eRabId,eRabThroughputStatList[4].qci,eRabThroughputStatList[4].ulDataVolume,eRabThroughputStatList[4].dlDataVolume,eRabThroughputStatList[5].eRabId,eRabThroughputStatList[5].qci,eRabThroughputStatList[5].ulDataVolume,eRabThroughputStatList[5].dlDataVolume,eRabThroughputStatList[6].eRabId,eRabThroughputStatList[6].qci,eRabThroughputStatList[6].ulDataVolume,eRabThroughputStatList[6].dlDataVolume,eRabThroughputStatList[7].eRabId,eRabThroughputStatList[7].qci,eRabThroughputStatList[7].ulDataVolume,eRabThroughputStatList[7].dlDataVolume
2025-02-27 05:42:02.584,6436098,15886403,3,5,9,12425,6841,6,8,0,5151,7,7,0,17540,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:02.590,6436096,829020168,2,5,9,765,575,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:03.002,6436098,16169557,3,5,9,0,0,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:03.106,6436138,829020070,3,5,9,153282,324319,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:03.132,6436137,16291849,3,5,9,29286,484197,6,8,0,0,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:03.440,6436096,15887476,3,5,9,9586,864,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:03.530,6436098,16291987,3,5,9,2897,1160,6,5,0,0,7,8,0,1710,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:03.779,6436238,16102365,3,5,9,17519,10240,6,5,0,0,7,8,0,219258,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:03.894,6436097,16291914,3,5,9,5681,0,6,8,0,293550,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:03.950,6436098,16291742,3,5,9,3546,112544,6,8,0,0,7,5,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.025,6436238,829019968,3,5,9,34041,576521,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.060,6436098,15887469,2,6,5,0,0,8,9,0,119,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.124,6436098,829020036,2,5,9,18934,1164,6,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.180,6436097,16169539,3,5,9,187,144,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.381,6436238,15797458,3,5,9,40646,352117,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.570,6436098,15797579,2,5,8,1218,15252,6,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.864,6436098,15941773,3,5,9,48263,753283,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.869,6436098,15885154,3,5,9,38240,1047,6,5,0,0,7,8,0,690546,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.918,6436096,15941872,2,5,8,3460,1550,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:04.938,6436226,15941872,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:05.088,6436097,15887221,3,5,9,29658,429297,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:05.204,6436096,16169421,2,5,9,464542,47274,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-27 05:42:05.226,6436097,829020207,3,5,9,55439,697354,6,5,0,0,7,8,0,0,,,,,,,,,,,,,,,,,,,,,
