Datetime,Serving_Cell_Id, Call_Id, ulRetransErrorNumber,ulCrcInitTransTotalNumber,dlRetransErrorNumber,dlCode0InitTransTotalNumber,dlCode1InitTransTotalNumber,ulRbUsedNumber,dlRbUsedNumber,dlWidebandCqiCode0,dlWidebandCqiCode1,rankIndication
2025-02-27 05:47:27.160,6436098,16169896,0,34,0,17,6,55,45,11,8,0,
2025-02-27 05:47:27.435,6436238,15942399,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,15,255,255,
2025-02-27 05:47:27.615,6436098,15887860,0,220,0,523,414,1841,22983,11,7,0,
2025-02-27 05:47:27.630,6436238,15886921,1,96,4,134,134,286,2072,14,14,1,
2025-02-27 05:47:27.650,6436097,15887221,0,512,0,24,20,120,978,11,9,1,
2025-02-27 05:47:27.827,6436238,15887689,0,336,0,553,549,1148,19832,14,14,255,
2025-02-27 05:47:27.923,6436136,16169953,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:47:27.923,6436096,16169953,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,8,14,0,
2025-02-27 05:47:28.196,6436097,16292423,0,498,0,4,2,2,6,8,11,1,
2025-02-27 05:47:28.320,6436097,16292307,16,1424,0,779,0,8982,51612,6,10,0,
2025-02-27 05:47:28.356,6436098,829020598,0,203,0,900,18,9739,48558,6,3,0,
2025-02-27 05:47:28.480,6436098,16292286,0,16,0,50,0,251,1999,11,7,0,
2025-02-27 05:47:28.609,6436098,829020591,0,25,0,16,0,685,125,6,4,0,
2025-02-27 05:47:28.719,6436096,16169950,0,581,0,162,0,705,1590,11,8,0,
2025-02-27 05:47:28.855,6436096,15942383,0,517,0,4,3,3,28,10,5,0,
2025-02-27 05:47:29.094,6436138,829020600,0,73,0,17,0,14,90,6,255,0,
2025-02-27 05:47:29.216,6436098,16102365,0,88,0,228,226,1841,6390,8,9,1,
2025-02-27 05:47:29.273,6436238,829020507,0,27,3,27,6,75,148,14,14,255,
2025-02-27 05:47:29.320,6436098,829020464,0,82,0,477,63,3494,32484,5,2,0,
2025-02-27 05:47:29.417,6436098,16169944,0,16,0,20,0,670,42,13,8,0,
2025-02-27 05:47:29.700,6436238,15798100,0,15,0,9,0,6,40,11,11,1,
2025-02-27 05:47:29.708,6436238,15798067,0,6,0,5,5,6,105,13,13,1,
2025-02-27 05:47:29.765,6436097,828962127,0,597,0,99,0,268,286,8,12,0,
2025-02-27 05:47:29.782,6436098,15798075,0,13,0,14,6,24,35,13,6,0,
2025-02-27 05:47:29.800,6436096,15798093,0,493,0,5,0,0,12,8,255,0,
2025-02-27 05:47:29.816,6436098,15887902,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,11,9,1,
2025-02-27 05:47:29.828,6436238,15887902,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:47:29.864,6436096,828959225,0,564,0,84,72,243,5979,11,4,0,
