Datetime,Serving_Cell_Id, Call_Id, ulRetransErrorNumber,ulCrcInitTransTotalNumber,dlRetransErrorNumber,dlCode0InitTransTotalNumber,dlCode1InitTransTotalNumber,ulRbUsedNumber,dlRbUsedNumber,dlWidebandCqiCode0,dlWidebandCqiCode1,rankIndication
2025-02-27 05:30:58.415,6436097,16291043,0,6,0,3,0,0,8,9,12,0,
2025-02-27 05:30:58.414,6436238,16168569,0,21,0,7,7,13,10,13,13,255,
2025-02-27 05:30:58.543,6436097,15796761,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,9,255,0,
2025-02-27 05:30:58.661,6436097,16290888,0,42,0,61,0,1964,350,13,11,0,
2025-02-27 05:30:58.741,6436238,828964664,0,6,0,4,4,15,8,12,12,255,
2025-02-27 05:30:58.755,6436096,15941017,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,8,5,1,
2025-02-27 05:30:58.751,6436238,15941017,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,255,255,255,
2025-02-27 05:30:58.791,6436096,15941006,0,476,0,5,3,4,9,7,11,1,
2025-02-27 05:30:58.787,6436238,15941006,4294967295,4294967295,0,0,0,4294967295,0,255,255,255,
2025-02-27 05:30:58.804,6436098,16168528,0,14,0,10,10,804,20,10,11,1,
2025-02-27 05:30:58.842,6436136,828964659,0,381,0,18,0,54,159,6,6,0,
2025-02-27 05:30:58.848,6436178,828962359,4294967295,4294967295,0,0,0,4294967295,0,4,5,1,
2025-02-27 05:30:58.852,6436098,828962359,0,44,0,55,56,1898,167,7,7,1,
2025-02-27 05:30:59.110,6436098,16291008,0,39,0,74,7,2202,2026,9,2,0,
2025-02-27 05:30:59.111,6436238,16291008,4294967295,4294967295,0,3,0,4294967295,224,9,6,0,
2025-02-27 05:30:59.123,6436238,15940897,0,253,0,381,381,647,4705,15,15,1,
2025-02-27 05:30:59.156,6436098,15940985,0,25,0,21,0,331,64,9,6,0,
2025-02-27 05:30:59.178,6436238,15885154,0,33,0,43,43,84,109,13,13,1,
2025-02-27 05:30:59.249,6436097,15796752,0,8,0,2,2,0,8,12,12,1,
2025-02-27 05:30:59.344,6436238,828963169,1,106,0,164,165,609,3590,13,13,1,
2025-02-27 05:30:59.351,6436238,15940971,0,2,0,2,2,5,4,14,14,1,
2025-02-27 05:30:59.359,6436178,16168579,0,482,0,9,0,2,28,6,4,0,
2025-02-27 05:30:59.507,6436097,16168428,0,45,0,66,66,388,792,9,9,1,
2025-02-27 05:30:59.617,6436097,15941020,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,6,255,0,
2025-02-27 05:30:59.675,6436098,15941008,0,58,0,113,112,512,2628,12,10,1,
2025-02-27 05:30:59.791,6436097,16166899,0,94,0,234,202,3707,9982,8,9,1,
2025-02-27 05:30:59.858,6436098,16291065,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,4294967295,15,255,0,
