Datetime,Serving_Cell_Id, Call_Id, uePhr
2025-02-27 05:47:27.160,6436098,16169896,35,
2025-02-27 05:47:27.435,6436238,15942399,34,
2025-02-27 05:47:27.615,6436098,15887860,40,
2025-02-27 05:47:27.630,6436238,15886921,34,
2025-02-27 05:47:27.650,6436097,15887221,31,
2025-02-27 05:47:27.827,6436238,15887689,35,
2025-02-27 05:47:27.923,6436136,16169953,255,
2025-02-27 05:47:27.923,6436096,16169953,28,
2025-02-27 05:47:28.196,6436097,16292423,31,
2025-02-27 05:47:28.320,6436097,16292307,1,
2025-02-27 05:47:28.356,6436098,829020598,18,
2025-02-27 05:47:28.480,6436098,16292286,27,
2025-02-27 05:47:28.609,6436098,829020591,16,
2025-02-27 05:47:28.719,6436096,16169950,37,
2025-02-27 05:47:28.855,6436096,15942383,32,
2025-02-27 05:47:29.094,6436138,829020600,18,
2025-02-27 05:47:29.216,6436098,16102365,30,
2025-02-27 05:47:29.273,6436238,829020507,29,
2025-02-27 05:47:29.320,6436098,829020464,8,
2025-02-27 05:47:29.417,6436098,16169944,17,
2025-02-27 05:47:29.700,6436238,15798100,28,
2025-02-27 05:47:29.708,6436238,15798067,33,
2025-02-27 05:47:29.765,6436097,828962127,31,
2025-02-27 05:47:29.782,6436098,15798075,31,
2025-02-27 05:47:29.800,6436096,15798093,41,
2025-02-27 05:47:29.816,6436098,15887902,23,
2025-02-27 05:47:29.828,6436238,15887902,255,
2025-02-27 05:47:29.864,6436096,828959225,39,
2025-02-27 05:47:30.058,6436238,15941773,31,
2025-02-27 05:47:30.160,6436098,16292426,28,
2025-02-27 05:47:30.232,6436098,16292370,41,
2025-02-27 05:47:30.255,6436238,15797715,28,
2025-02-27 05:47:30.345,6436098,15798094,31,
2025-02-27 05:47:30.454,6436098,15887886,18,
2025-02-27 05:47:30.615,6436098,829020504,52,
2025-02-27 05:47:30.629,6436098,15942401,32,
2025-02-27 05:47:30.641,6436238,15942401,255,
2025-02-27 05:47:30.790,6436138,829020070,16,
2025-02-27 05:47:30.807,6436098,829020604,2,
2025-02-27 05:47:30.945,6436096,15942031,30,
2025-02-27 05:47:30.982,6436097,16169952,29,
